Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas globais,Desenvolvedora,Classificacao,Media de pontuacao,Agrupamento
Star Wars: The Force Unleashed,6,2008,9,18,2.21,143,3,38.8,104
Crash City Mayhem,9,2004,3,28,0.93,0,0,0.0,2413
Tak: The Great Juju Challenge,9,2005,2,28,0.17,278,1,26.0,636
F1 2012,15,2012,3,34,0.15,294,1,43.45,592
No More Heroes: Heroes' Paradise,6,2010,9,14,0.19,981,2,39.65,104
Rugby World Cup 2015,15,2015,1,5,0.01,254,1,0.7,960
NBA Live 16,10,2015,1,7,0.18,18,1,32.55,170
Kurupoto Cool Cool Stars,4,2007,9,200,0.06,882,1,0.0,157
Fast Food Panic,1,2009,8,125,0.06,1382,1,28.5,27
Strike Force Bowling,20,2005,1,67,0.06,661,1,23.5,960
Age of Empires: The Age of Kings,4,2006,12,28,0.22,179,4,43.95,2740
Vigilante 8: 2nd Offense,13,1999,3,4,0.48,0,0,0.0,592
Romance of the Three Kingdoms III: Dragon of Destiny,8,1992,12,48,0.29,0,0,0.0,2806
Dungeons & Dragons Heroes,14,2003,4,10,0.26,0,0,0.0,14
Samurai Shodown V,14,2006,10,153,0.02,1192,3,29.0,8993
Resident Evil: Outbreak,7,2003,9,12,1.45,48,2,39.65,28
Get Fit with Mel B,5,0,1,195,0.08,730,1,28.5,450
Rogue Trip: Vacation 2012,13,1998,3,13,0.38,0,0,0.0,592
Baseball,2,1983,1,0,3.2,0,0,0.0,5
Port Royale 3,6,0,8,206,0.07,515,3,4.45,485
Breath of Fire: Dragon Quarter,7,2002,4,12,0.19,48,3,42.45,56
Blades of Blood: Samurai Shodown III,13,1995,10,3,0.08,0,0,0.0,8993
Tales of Legendia,7,2005,4,25,0.49,32,3,39.85,56
Spy Fiction,7,2003,9,8,0.04,796,2,30.5,28
Diner Dash: Sizzle & Serve,17,2007,5,21,0.12,0,0,0.0,371
Unit 13,23,2012,7,3,0.5,92,3,39.25,260
NCAA Football 08,6,2007,1,7,0.38,18,1,42.45,25
Burnout,20,2002,3,30,0.3,139,1,42.95,592
Corvette,7,2004,3,71,1.33,309,1,31.75,10165
Major League Baseball 2K8,1,2008,1,2,0.14,0,0,0.0,6
Call of Duty: Black Ops 3,18,2015,7,4,7.39,0,0,0.0,260
U-Sing  2,1,2010,6,51,0.09,0,0,0.0,205
Microsoft Flight Simulator 2004: A Century of Flight,15,2003,8,1,0.07,376,1,48.1,784
Pro Angler Moves,6,2012,1,566,0.01,1667,1,0.0,25
Madagascar: Operation Penguin,9,2005,9,4,0.48,67,1,0.0,179
Tom Clancy's Ghost Recon,1,2010,7,5,0.12,68,3,26.4,3
Momotarou Dentetsu DS: Tokyo & Japan,4,2007,6,68,0.34,0,0,0.0,493
The Witcher 2: Assassins of Kings,15,2011,9,25,0.96,81,2,48.25,149
NHL Hitz 20-02,7,2001,1,39,0.56,168,1,42.8,379
Phantasy Star Online Episode I & II Plus,20,2003,4,8,0.05,0,0,0.0,14
Speed Racer,13,1996,3,99,0.07,0,0,0.0,592
SingStar Legends,7,2006,6,3,1.1,223,3,38.0,78
Monster Hunter Freedom,17,2005,4,12,1.34,48,3,39.8,14
TOCA Race Driver 2: Ultimate Racing Simulator,7,2004,3,34,0.06,0,0,0.0,10165
The Hidden,11,0,11,53,0.08,112,4,2.1,29
Girls RPG: Cinderellife,11,2012,4,37,0.06,0,0,0.0,167
Elkrone no Atelier: Dear for Otomate,17,2012,9,323,0.02,0,0,0.0,149
AniMates!,4,2007,8,517,0.03,1131,1,17.75,36
NBA Live 98,13,1997,1,7,1.51,0,0,0.0,960
Tail of the Sun,13,1996,4,239,0.02,0,0,0.0,14
NHL FaceOff 2003,7,2002,1,3,0.23,398,1,27.5,379
Beatdown: Fists of Vengeance,14,2005,9,12,0.04,0,0,0.0,149
NHL Powerplay '96,13,1996,1,17,0.12,0,0,0.0,960
Mortal Kombat: Deadly Alliance,9,2002,10,39,0.01,139,2,44.9,32
Sengoku Basara: Sanada Yukimura-Den,6,2016,9,12,0.03,0,0,0.0,104
War Gods,12,1997,10,39,0.29,0,0,0.0,8993
Homefront,15,2011,7,28,0.24,493,2,37.75,260
In the Hunt,13,1995,7,28,0.14,0,0,0.0,260
Barbie and the Three Musketeers,1,2009,11,4,0.23,242,1,0.0,171
Tekken Tag Tournament 2,6,2012,10,25,0.85,145,3,45.1,1498
Gladius,7,2003,12,4,0.2,143,3,43.0,286
Hokuto no Ken,7,2007,10,8,0.05,0,0,0.0,120
Tears to Tiara: Garland of the Earth,6,2008,12,315,0.08,0,0,0.0,639
Road Rash 64,12,1999,3,28,0.24,0,0,0.0,592
Dragon Age: Origins,6,2009,4,7,1.67,116,2,47.45,38
Insecticide,4,2008,9,411,0.06,696,4,31.0,157
Virtual Pro Wrestling,13,1996,10,371,0.1,0,0,0.0,8993
Dora & Kai-Lan's Pet Shelter,4,2011,12,2,0.1,0,0,0.0,2740
Backyard NFL Football '09,1,2008,1,10,0.21,0,0,0.0,6
Meitantei Conan & Kindaichi Shounen no Jikenbou: Meguri au Futari no Meitantei,4,2009,11,25,0.08,0,0,0.0,37
RIFT,15,2011,4,53,0.67,529,3,45.65,14
Mirror's Edge,15,2009,2,7,0.06,29,3,44.55,592
EA Sports Active 2,6,2010,1,7,0.91,35,1,41.7,25
Super Mario Maker,19,2015,2,0,3.21,0,1,48.35,592
Calvin Tucker's Redneck Jamboree,1,2008,6,74,0.31,676,4,13.0,205
Momotarou Dentetsu 15,7,2005,6,68,0.22,0,0,0.0,78
The Lord of the Rings: Conquest,5,2009,9,7,0.63,93,3,31.0,220
Smash Court Tennis 3,17,2007,1,25,0.04,314,1,37.15,960
Command & Conquer 3: Tiberium Wars,15,2007,12,7,0.07,0,0,0.0,530
Yowamushi Pedal,11,2015,9,25,0.04,0,0,0.0,1591
Truth or Lies,1,2010,6,28,0.1,166,3,0.0,205
Ontamarama,4,2007,9,91,0.05,1304,1,35.5,157
TRON: Evolution,6,2010,9,32,0.42,491,3,32.1,104
Superman Returns,4,2006,9,7,0.07,57,1,18.95,157
Atelier Ayesha: The Alchemist of Dusk,6,2012,4,48,0.26,690,3,38.3,38
The Cursed Crusade,6,2011,9,233,0.17,1040,2,25.0,104
Dexter's Lab Chess Challenge,9,2002,6,176,0.2,0,0,0.0,17
 Haikyu!! Cross Team Match!,11,2016,11,25,0.04,0,0,0.0,29
Robin Hood: Defender of the Crown,7,2003,12,12,0.19,996,3,32.3,286
Galaxy Fight,24,1994,10,240,0.04,0,0,0.0,8993
WipEout Pure,17,2005,3,3,1.03,382,1,47.95,592
Steel Battalion: Heavy Armor,5,2012,6,12,0.13,163,2,20.2,3840
Bleach: Dark Souls,4,2007,10,8,0.15,663,3,44.95,1056
Moon,13,1997,11,49,0.18,0,0,0.0,812
The Sims 4: Get Together,15,2015,8,7,0.22,89,3,39.65,784
Tenchu: Shadow Assassins,17,2009,9,5,0.11,163,2,37.7,149
Resident Evil Director's Cut,13,1996,9,17,3.77,0,0,0.0,149
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,6,2016,6,48,0.04,0,0,0.0,229
MediEvil II,13,1999,9,3,0.38,0,0,0.0,149
NASCAR 2005: Chase for the Cup,7,2004,3,7,1.41,57,1,47.7,10165
11eyes: CrossOver,17,2010,11,357,0.02,0,0,0.0,812
SpongeBob SquarePants: Plankton's Robotic Revenge,19,2013,7,4,0.05,592,4,3.1,260
Invizimals: The Alliance,23,2013,9,3,0.08,472,4,37.9,149
Ice Age: Dawn of the Dinosaurs,5,2009,9,4,0.12,242,4,37.75,220
Kawaii Koinu DS 3,4,2010,8,329,0.02,0,0,0.0,36
Truth or Lies,6,2010,6,28,0.09,166,3,0.0,229
Lord of Darkness,8,1991,9,48,0.28,0,0,0.0,87
Time Leap,5,2009,11,436,0.01,0,0,0.0,1717
Madden NFL 09,17,2008,1,7,0.71,57,1,37.25,960
7th Dragon 2020-II,17,2013,4,8,0.13,0,0,0.0,14
WRC 5: FIA World Rally Championship,18,2015,1,340,0.01,0,0,0.0,960
Blazblue: Continuum Shift Extend,17,2012,10,221,0.01,0,0,0.0,8993
Nickelodeon Dance,1,2011,6,2,0.24,337,1,0.0,205
Bully: Scholarship Edition,1,2008,9,2,0.5,106,3,45.7,113
Star X,9,2002,7,176,0.04,817,1,30.0,63
Dodge Racing: Charger vs Challenger,1,2009,3,201,0.12,1174,1,0.0,1392
Disney's The Emperor's New Groove,13,2000,2,3,0.31,809,1,36.6,592
Game of Thrones,6,2012,4,82,0.24,880,2,29.25,38
Pokemon Battle Revolution,1,2006,4,0,1.58,157,1,29.85,65
Raven Squad: Operation Hidden Dagger,15,2009,7,374,0.02,1258,3,21.05,260
New Love Plus,11,2012,8,14,0.19,0,0,0.0,3332
Omega Quintet,10,2014,4,266,0.02,910,3,32.55,856
LEGO Dimensions,18,2015,9,19,0.41,50,4,43.45,149
Power Pro Kun Pocket 10,4,2007,1,14,0.3,0,0,0.0,50
Sly Cooper: Thieves in Time,6,2013,2,16,0.54,525,4,41.65,3720
Wii Sports Resort,1,2009,1,0,32.77,0,1,44.0,6
Duke Nukem Forever,5,2011,7,2,0.83,454,2,26.7,277
H2O+: Footprints in the Sand,7,2008,11,154,0.01,0,0,0.0,3650
The Sims 2: University,15,2005,8,7,0.06,89,3,44.4,784
Doubutsu no Mori,12,2001,8,0,0.31,0,0,0.0,784
Red Faction II,20,2003,7,28,0.03,958,2,43.15,260
Brain Age: Train Your Brain in Minutes a Day,4,2005,6,0,20.15,0,1,42.45,493
Stuart Little 2,9,2002,2,4,0.46,660,1,29.5,636
Dream C Club,6,2012,8,58,0.02,0,0,0.0,485
The Lord of the Rings: Conquest,4,2009,9,7,0.1,250,4,34.4,157
ESPN Great Outdoor Games Bass 2002,9,2001,1,14,0.05,741,1,28.5,106
Black & Bruised,7,2003,10,23,0.16,0,0,0.0,120
Theme Hospital,13,1998,12,7,0.09,0,0,0.0,530
Chaos Legion,7,2003,9,12,0.3,48,3,36.6,28
Etrian Mystery Dungeon,11,2015,4,131,0.24,701,4,42.45,167
Digimon Rumble Arena 2,20,2004,10,10,0.04,1260,3,39.55,8993
Shin Megami Tensei: Devil Survivor,4,2009,4,91,0.26,355,3,46.4,12
Master of Illusion,4,2006,5,0,0.43,679,1,34.5,430
Dance Dance Revolution: Mario Mix,20,2005,6,0,0.47,21,1,38.7,209
World of Warcraft: Warlords of Draenor,15,2014,9,170,0.47,41,3,46.45,149
Innocent Life: A Futuristic Harvest Moon,17,2006,8,70,0.16,234,1,37.4,784
Meitantei Conan: Kieta Hakase to Machigai Sagashi no Tou,4,2008,11,25,0.02,0,0,0.0,37
Sonic Lost World,19,2013,2,8,0.39,125,4,35.15,592
Green Lantern: Rise of the Manhunters,11,2011,9,19,0.13,243,4,22.95,1591
FIFA 12,17,2011,1,7,0.52,0,0,0.0,960
SWAT: Target Liberty,17,2007,7,23,0.04,326,3,28.85,260
X-Men Legends,14,2004,4,4,0.9,161,3,45.25,14
Monster High: New Ghoul in School,6,2015,9,241,0.04,1469,1,0.0,104
Super Famista 5,8,1996,1,25,0.5,0,0,0.0,24
The Legend of Zelda: Link's Awakening,3,1992,9,0,3.83,0,0,0.0,112
Harvest Moon: A Wonderful Life,20,2003,4,5,0.79,468,1,43.95,14
Scooby-Doo! Night of 100 Frights,14,2003,2,28,0.14,0,0,0.0,592
Need for Speed Rivals,10,2013,3,7,1.98,200,4,43.1,856
Ms Saga: A New Dawn,7,2005,4,25,0.05,503,4,36.8,56
Brink,6,2011,7,6,0.73,381,3,38.9,73
MotoGP 15,18,2015,3,255,0.03,723,0,32.5,592
World Championship Poker,7,2004,6,97,0.95,414,1,33.85,78
MonHun Nikki: Poka Poka Ailu Mura G,17,2011,4,12,0.31,0,0,0.0,14
Babysitting Mania,4,2008,8,35,0.26,871,1,0.0,36
F1 2014,15,2014,3,34,0.1,306,1,32.9,592
Valkyrie Profile,13,1999,4,24,0.81,236,3,44.9,14
Crash of the Titans,4,2007,9,23,0.48,186,1,39.45,157
Haneru no Tobira DS: Tanshuku Tetsudou no Yoru,4,2007,6,25,0.04,0,0,0.0,493
War Leaders: Clash of Nations,15,2009,12,363,0.02,1618,3,3.2,530
Skylanders: Spyro's Adventure,5,2011,9,4,0.97,140,4,41.6,220
Bloody Roar,13,1997,10,17,0.39,0,0,0.0,8993
Utawarerumono: Futari no Hakuoro,23,2016,6,315,0.06,0,0,0.0,209
Yars' Revenge,16,1982,7,10,0.78,0,0,0.0,260
The Amazing Spider-Man (Console Version),4,2012,9,4,0.2,0,0,0.0,157
Dora the Explorer: Dora Puppy,4,2009,6,2,0.43,0,0,0.0,493
Samurai Jack: The Amulet of Time,9,2003,2,84,0.22,512,3,31.5,636
Twisted Metal 2,13,1996,3,3,2.44,0,0,0.0,592
NHL 15,10,2014,1,7,0.6,18,4,31.8,170
DmC: Devil May Cry,10,2015,9,12,0.31,0,0,0.0,661
Mini Ninjas,5,2009,9,21,0.29,126,4,40.7,220
Dreamcast Collection,5,2011,6,8,0.24,180,3,29.1,3840
Scooby-Doo! Unmasked,7,2005,2,28,0.25,0,0,0.0,728
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,9,2005,3,28,0.12,0,0,0.0,2413
Barbie: Groom and Glam Pups,4,2010,9,28,0.43,688,1,0.0,157
Golden Nugget Casino DS,4,2005,6,35,0.02,561,3,0.0,493
Ridge Racer Unbounded,15,2012,3,25,0.02,728,3,39.0,592
Iron Man 2,17,2010,9,8,0.38,337,3,24.5,149
Famicom Remix Best Choice,11,2015,9,0,0.04,0,0,0.0,1591
Sudoku Ball Detective,1,2009,5,289,0.04,1390,4,0.0,58
Disney's Tarzan Untamed,20,2001,2,5,0.18,52,1,34.2,592
Karaoke Revolution Volume 2,7,2004,6,14,0.23,58,1,41.5,78
Spider-Man: Mysterio's Menace,9,2001,9,4,0.61,67,1,46.35,179
Mega Man 7,8,1995,2,151,0.28,0,0,0.0,24
Wolfenstein: The Old Blood,18,2015,9,6,0.15,263,0,41.5,149
Plants vs. Zombies: Garden Warfare 2,10,2016,7,7,0.49,364,4,44.35,239
Bee Movie Game,5,2007,9,4,0.17,185,1,38.4,220
DEATH NOTE: L o Tsugu Mono,4,2007,11,14,0.02,0,0,0.0,37
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion - Shito, Futatabi",7,2008,6,58,0.12,0,0,0.0,78
BioShock 2,6,2010,7,2,1.54,183,2,48.1,73
NBA 2K10,7,2009,1,2,0.4,83,1,4.3,379
Crash Team Racing,13,1999,3,3,4.79,33,1,48.5,592
Yakuza,7,2005,9,8,0.8,269,2,41.6,28
PopCap Arcade Vol 1,5,2007,5,209,0.04,364,1,0.0,2052
Kevin Van Dam: Big Bass Challenge,1,2010,1,74,0.03,0,0,0.0,6
Sniper Elite 3,5,2014,7,11,0.3,248,2,3.3,277
NBA Live 07,14,2006,1,7,0.06,18,1,37.9,960
Suzumiya Haruhi no Heiretsu,1,2009,11,8,0.02,0,0,0.0,171
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,23,2012,11,120,0.03,0,0,0.0,812
Kamaitachi no Yoru 2: Tokubetsu Hen,17,2006,11,120,0.01,0,0,0.0,812
Professor Layton and the Last Specter,4,2009,5,0,2.67,49,4,45.85,430
Battlefield 3,5,2011,7,7,7.32,29,2,45.7,277
Reader Rabbit Kindergarten,4,2008,6,128,0.27,859,1,0.0,493
The Dukes of Hazzard: Racing for Home,13,1999,3,5,1.19,0,0,0.0,592
NBA In The Zone '98,12,1997,1,14,0.27,0,0,0.0,960
"What Did I Do to Deserve This, My Lord!? 2",17,2008,4,131,0.25,0,0,0.0,14
Spider-Man 3,5,2007,2,4,0.57,6,3,35.0,2289
Max Payne,7,2001,7,2,3.31,106,2,44.25,41
Psycho-Pass: Mandatory Happiness,23,2016,11,131,0.02,1009,3,35.65,812
Unreal Tournament 2004,15,2004,7,10,0.02,37,2,50.95,260
Road & Track Presents: The Need for Speed,13,1995,3,7,1.0,0,0,0.0,592
Stolen,7,2005,9,317,0.04,1500,3,29.2,28
Derby Stallion II,8,1994,1,49,0.87,0,0,0.0,24
NFL Head Coach 09,6,2008,1,7,0.14,57,1,35.55,25
Nicktoons Collection: Game Boy Advance Video Volume 1,9,2004,6,0,0.64,0,0,0.0,17
The Sims 2,20,2005,8,7,0.33,89,3,40.65,784
"Warhammer 40,000: Dawn of War: Soulstorm",15,2008,12,28,0.02,0,0,0.0,530
Atari Flashback Classics: Volume 2,10,2016,6,10,0.02,1134,1,0.0,53
The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon,17,2009,11,25,0.23,0,0,0.0,812
NASCAR 06: Total Team Control,7,2005,3,7,0.63,18,1,42.85,10165
Bass Pro Shops: The Hunt,1,2010,1,166,0.23,915,3,0.0,6
Need for Speed: Shift 2 Unleashed,15,2011,3,7,0.19,0,0,0.0,592
Ken Griffey Jr.'s Slugfest,12,1999,1,0,0.29,0,0,0.0,960
Dragon Force II: Kamisarishi Daichi ni,24,1998,12,8,0.08,0,0,0.0,530
Clive Barker's Jericho,15,2007,7,34,0.01,794,2,35.25,260
WWE SmackDown vs. Raw 2010,5,2009,10,28,1.04,156,3,44.2,220
Barbie Fashion Show: An Eye for Style,4,2008,6,4,0.19,0,0,0.0,493
Rocket: Robot on Wheels,12,1999,2,5,0.12,0,0,0.0,592
Remember Me,15,2013,9,12,0.06,711,2,36.2,149
Lego Star Wars: The Force Awakens,23,2016,9,19,0.1,182,4,3.55,149
Deadly Arts,12,1998,10,14,0.04,0,0,0.0,8993
Assault,16,1982,9,253,0.22,0,0,0.0,149
Wet,5,0,7,6,0.5,250,2,38.15,277
Batman: Return to Arkham,18,2016,9,19,0.11,866,3,42.6,149
Koudelka,13,1999,4,10,0.08,0,0,0.0,14
Gundam Breaker,6,2013,9,25,0.26,0,0,0.0,104
Worms 3D,14,2003,12,8,0.06,449,3,38.7,530
Terraria,10,2014,9,11,0.07,531,3,45.45,661
SOCOM: U.S. Navy SEALs,7,2002,7,3,3.65,92,2,44.95,41
Mafia II,5,2010,9,2,1.55,264,2,40.9,220
Super Bowling,12,1999,1,402,0.02,0,0,0.0,960
Final Fantasy VIII,13,1999,4,9,7.86,14,3,49.3,14
Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Gakkou-Hen,4,2008,8,14,0.04,0,0,0.0,36
Famicom Mini: Nazo no Murasame-Jou,9,2004,9,0,0.07,0,0,0.0,179
Pro Yakyuu Team o Tsukurou!,4,2008,1,8,0.19,0,0,0.0,50
LEGO Rock Band,6,2009,6,19,0.42,64,4,41.3,229
Tom Clancy's Rainbow Six,13,1999,7,61,1.64,0,0,0.0,260
Hi-Octane: The Track Fights Back!,13,1995,3,7,0.05,0,0,0.0,592
Yes! PreCure 5,4,2007,9,25,0.04,0,0,0.0,157
ATV: Quad Power Racing,9,2002,3,236,0.26,429,1,24.5,2413
Judge Dredd: Dredd Vs Death,14,2003,7,23,0.02,248,2,31.85,260
Super Puyo Puyo 2,8,1995,5,89,0.47,0,0,0.0,373
Conflict Zone,7,2002,12,5,0.21,946,3,27.2,286
Jikkyou Powerful Pro Yakyuu 4,12,1997,1,14,0.31,0,0,0.0,960
Kirby Squeak Squad,4,2006,2,0,1.94,204,1,39.55,4858
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.6,6,2015,11,25,0.02,0,0,0.0,143
Puzzle Quest: Challenge of the Warlords,4,2007,5,58,0.34,112,4,45.35,430
Ultimate Spider-Man,7,2005,9,4,0.72,6,3,40.95,28
Virtua Fighter 5 Online,5,2007,10,8,0.28,219,3,48.3,220
T'ai Fu: Wrath of the Tiger,13,1998,9,4,0.15,0,0,0.0,149
Wipeout 2,4,2011,6,4,0.25,568,1,0.0,493
Big Brain Academy,4,2005,6,0,6.62,0,1,40.7,493
California Speed,12,1999,6,39,0.16,0,0,0.0,209
Gravitar,16,1982,9,10,0.38,0,0,0.0,149
NCAA College Basketball 2K3,14,2002,1,8,0.14,276,1,46.2,960
Lost Heroes,17,2012,4,25,0.07,0,0,0.0,14
Company of Heroes,15,2006,12,28,0.05,586,2,50.9,530
Men in Black II: Alien Escape,7,2002,7,52,0.5,318,3,28.65,41
Marvel Super Hero Squad: Comic Combat,1,2011,9,28,0.18,166,4,0.0,113
Mortal Kombat,23,2012,10,19,0.65,133,2,46.4,8993
Tom Clancy's Splinter Cell: Conviction,15,2010,9,5,0.11,52,2,44.1,149
Terraria,5,2013,9,11,0.67,531,3,44.1,220
Yokai Sangokushi,11,2016,9,37,0.56,0,0,0.0,1591
"Tennis no Oji-Sama: Doubles no Oji-Sama - Boys, Be Glorious!",4,2009,1,14,0.01,0,0,0.0,50
Turok,6,2008,9,129,0.67,491,2,36.5,104
World Snooker Championship 2007,5,2007,1,8,0.01,0,0,0.0,450
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",14,2005,9,32,0.2,50,3,39.0,149
Hogan's Alley,2,1984,7,0,1.27,0,0,0.0,154
Curse of the Amsterdam Diamond,4,2012,5,526,0.01,0,0,0.0,430
Suggoi! Arcana Heart 2,7,2009,10,256,0.03,0,0,0.0,120
Guilty Gear Xrd: Sign,10,2014,10,221,0.16,0,0,0.0,797
Kanzen Chuuki Pro Yakyuu Greatest Nine,24,1995,1,8,0.22,0,0,0.0,960
Hometown Story,11,2013,4,70,0.43,685,4,26.5,167
ATV: Quad Frenzy,4,2005,3,35,0.11,561,1,17.5,2490
Karaoke Revolution Presents American Idol Encore,5,2008,6,14,0.11,281,1,38.5,3840
Rayman Raving Rabbids,4,2007,6,5,0.14,1093,1,31.05,493
Time and Eternity,6,2012,4,131,0.17,797,3,23.5,38
The Walking Dead: Season Two,5,2014,11,173,0.1,0,0,0.0,1717
One Piece: Unlimited Adventure,1,2007,11,25,0.19,722,3,37.75,171
MLB 2K9 Fantasy All-Stars,4,2009,1,2,0.09,749,1,0.0,50
Contra: Shattered Soldier,7,2002,7,14,0.58,85,3,42.3,41
Need for Speed: The Run,1,2011,9,7,0.27,717,4,33.8,113
Plants vs. Zombies,4,2011,12,92,1.1,91,4,44.2,2740
Tony Hawk's Pro Skater 3,13,2001,1,4,1.67,249,1,47.65,960
Blazing Heroes,24,1995,4,8,0.3,0,0,0.0,14
Slide Adventure: Mag Kid,4,2007,9,0,0.01,0,0,0.0,157
Sally's Salon,4,2008,8,12,0.13,48,1,0.0,36
Odin Sphere: Leifthrasir,23,2016,4,131,0.14,567,3,50.45,14
Tourist Trophy: The Real Riding Simulator,7,2006,3,3,0.68,0,0,0.0,10165
F1 Pole Position 64,12,1997,3,5,0.25,0,0,0.0,592
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,11,2012,11,120,0.03,0,0,0.0,29
FlatOut,14,2004,3,87,0.17,728,3,39.6,592
