Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas globais,Desenvolvedora,Classificacao,Media de pontuacao,Agrupamento
Command & Conquer 3: Tiberium Wars,15,2007,12,7,0.07,0,0,0.0,101
Yowamushi Pedal,11,2015,9,25,0.04,0,0,0.0,136
Truth or Lies,1,2010,6,28,0.1,166,3,0.0,129
Ontamarama,4,2007,9,91,0.05,1304,1,35.5,160
TRON: Evolution,6,2010,9,32,0.42,491,3,32.1,85
Superman Returns,4,2006,9,7,0.07,57,1,18.95,160
Atelier Ayesha: The Alchemist of Dusk,6,2012,4,48,0.26,690,3,38.3,4
The Cursed Crusade,6,2011,9,233,0.17,1040,2,25.0,85
Dexter's Lab Chess Challenge,9,2002,6,176,0.2,0,0,0.0,16
 Haikyu!! Cross Team Match!,11,2016,11,25,0.04,0,0,0.0,136
Robin Hood: Defender of the Crown,7,2003,12,12,0.19,996,3,32.3,25
Galaxy Fight,24,1994,10,240,0.04,0,0,0.0,101
WipEout Pure,17,2005,3,3,1.03,382,1,47.95,48
Steel Battalion: Heavy Armor,5,2012,6,12,0.13,163,2,20.2,10
Bleach: Dark Souls,4,2007,10,8,0.15,663,3,44.95,120
Moon,13,1997,11,49,0.18,0,0,0.0,101
The Sims 4: Get Together,15,2015,8,7,0.22,89,3,39.65,14
Tenchu: Shadow Assassins,17,2009,9,5,0.11,163,2,37.7,101
Resident Evil Director's Cut,13,1996,9,17,3.77,0,0,0.0,136
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,6,2016,6,48,0.04,0,0,0.0,10
MediEvil II,13,1999,9,3,0.38,0,0,0.0,136
NASCAR 2005: Chase for the Cup,7,2004,3,7,1.41,57,1,47.7,4
11eyes: CrossOver,17,2010,11,357,0.02,0,0,0.0,101
SpongeBob SquarePants: Plankton's Robotic Revenge,19,2013,7,4,0.05,592,4,3.1,14
Invizimals: The Alliance,23,2013,9,3,0.08,472,4,37.9,101
Ice Age: Dawn of the Dinosaurs,5,2009,9,4,0.12,242,4,37.75,85
Kawaii Koinu DS 3,4,2010,8,329,0.02,0,0,0.0,160
Truth or Lies,6,2010,6,28,0.09,166,3,0.0,10
Lord of Darkness,8,1991,9,48,0.28,0,0,0.0,66
Time Leap,5,2009,11,436,0.01,0,0,0.0,20
Madden NFL 09,17,2008,1,7,0.71,57,1,37.25,72
7th Dragon 2020-II,17,2013,4,8,0.13,0,0,0.0,48
WRC 5: FIA World Rally Championship,18,2015,1,340,0.01,0,0,0.0,72
Blazblue: Continuum Shift Extend,17,2012,10,221,0.01,0,0,0.0,101
Nickelodeon Dance,1,2011,6,2,0.24,337,1,0.0,129
Bully: Scholarship Edition,1,2008,9,2,0.5,106,3,45.7,56
Star X,9,2002,7,176,0.04,817,1,30.0,86
Dodge Racing: Charger vs Challenger,1,2009,3,201,0.12,1174,1,0.0,44
Disney's The Emperor's New Groove,13,2000,2,3,0.31,809,1,36.6,72
Game of Thrones,6,2012,4,82,0.24,880,2,29.25,4
Pokemon Battle Revolution,1,2006,4,0,1.58,157,1,29.85,129
Raven Squad: Operation Hidden Dagger,15,2009,7,374,0.02,1258,3,21.05,14
New Love Plus,11,2012,8,14,0.19,0,0,0.0,14
Omega Quintet,10,2014,4,266,0.02,910,3,32.55,48
LEGO Dimensions,18,2015,9,19,0.41,50,4,43.45,101
Power Pro Kun Pocket 10,4,2007,1,14,0.3,0,0,0.0,76
Sly Cooper: Thieves in Time,6,2013,2,16,0.54,525,4,41.65,3
Wii Sports Resort,1,2009,1,0,32.77,0,1,44.0,44
Duke Nukem Forever,5,2011,7,2,0.83,454,2,26.7,85
H2O+: Footprints in the Sand,7,2008,11,154,0.01,0,0,0.0,25
The Sims 2: University,15,2005,8,7,0.06,89,3,44.4,14
Doubutsu no Mori,12,2001,8,0,0.31,0,0,0.0,14
Red Faction II,20,2003,7,28,0.03,958,2,43.15,14
Brain Age: Train Your Brain in Minutes a Day,4,2005,6,0,20.15,0,1,42.45,27
Stuart Little 2,9,2002,2,4,0.46,660,1,29.5,15
Dream C Club,6,2012,8,58,0.02,0,0,0.0,85
The Lord of the Rings: Conquest,4,2009,9,7,0.1,250,4,34.4,160
ESPN Great Outdoor Games Bass 2002,9,2001,1,14,0.05,741,1,28.5,15
Black & Bruised,7,2003,10,23,0.16,0,0,0.0,85
Theme Hospital,13,1998,12,7,0.09,0,0,0.0,101
Chaos Legion,7,2003,9,12,0.3,48,3,36.6,85
Etrian Mystery Dungeon,11,2015,4,131,0.24,701,4,42.45,48
Digimon Rumble Arena 2,20,2004,10,10,0.04,1260,3,39.55,101
Shin Megami Tensei: Devil Survivor,4,2009,4,91,0.26,355,3,46.4,11
Master of Illusion,4,2006,5,0,0.43,679,1,34.5,27
Dance Dance Revolution: Mario Mix,20,2005,6,0,0.47,21,1,38.7,14
World of Warcraft: Warlords of Draenor,15,2014,9,170,0.47,41,3,46.45,14
Innocent Life: A Futuristic Harvest Moon,17,2006,8,70,0.16,234,1,37.4,14
Meitantei Conan: Kieta Hakase to Machigai Sagashi no Tou,4,2008,11,25,0.02,0,0,0.0,20
Sonic Lost World,19,2013,2,8,0.39,125,4,35.15,72
Green Lantern: Rise of the Manhunters,11,2011,9,19,0.13,243,4,22.95,136
FIFA 12,17,2011,1,7,0.52,0,0,0.0,72
SWAT: Target Liberty,17,2007,7,23,0.04,326,3,28.85,14
X-Men Legends,14,2004,4,4,0.9,161,3,45.25,48
Monster High: New Ghoul in School,6,2015,9,241,0.04,1469,1,0.0,85
Super Famista 5,8,1996,1,25,0.5,0,0,0.0,2
The Legend of Zelda: Link's Awakening,3,1992,9,0,3.83,0,0,0.0,160
Harvest Moon: A Wonderful Life,20,2003,4,5,0.79,468,1,43.95,48
Scooby-Doo! Night of 100 Frights,14,2003,2,28,0.14,0,0,0.0,72
Need for Speed Rivals,10,2013,3,7,1.98,200,4,43.1,48
Ms Saga: A New Dawn,7,2005,4,25,0.05,503,4,36.8,4
Brink,6,2011,7,6,0.73,381,3,38.9,40
MotoGP 15,18,2015,3,255,0.03,723,0,32.5,48
World Championship Poker,7,2004,6,97,0.95,414,1,33.85,10
MonHun Nikki: Poka Poka Ailu Mura G,17,2011,4,12,0.31,0,0,0.0,48
Babysitting Mania,4,2008,8,35,0.26,871,1,0.0,160
F1 2014,15,2014,3,34,0.1,306,1,32.9,48
Valkyrie Profile,13,1999,4,24,0.81,236,3,44.9,48
Crash of the Titans,4,2007,9,23,0.48,186,1,39.45,160
Haneru no Tobira DS: Tanshuku Tetsudou no Yoru,4,2007,6,25,0.04,0,0,0.0,27
War Leaders: Clash of Nations,15,2009,12,363,0.02,1618,3,3.2,101
Skylanders: Spyro's Adventure,5,2011,9,4,0.97,140,4,41.6,85
Bloody Roar,13,1997,10,17,0.39,0,0,0.0,136
Utawarerumono: Futari no Hakuoro,23,2016,6,315,0.06,0,0,0.0,14
Yars' Revenge,16,1982,7,10,0.78,0,0,0.0,14
The Amazing Spider-Man (Console Version),4,2012,9,4,0.2,0,0,0.0,160
Dora the Explorer: Dora Puppy,4,2009,6,2,0.43,0,0,0.0,27
Samurai Jack: The Amulet of Time,9,2003,2,84,0.22,512,3,31.5,15
Twisted Metal 2,13,1996,3,3,2.44,0,0,0.0,48
NHL 15,10,2014,1,7,0.6,18,4,31.8,15
DmC: Devil May Cry,10,2015,9,12,0.31,0,0,0.0,136
Mini Ninjas,5,2009,9,21,0.29,126,4,40.7,85
Dreamcast Collection,5,2011,6,8,0.24,180,3,29.1,10
Scooby-Doo! Unmasked,7,2005,2,28,0.25,0,0,0.0,70
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,9,2005,3,28,0.12,0,0,0.0,58
Barbie: Groom and Glam Pups,4,2010,9,28,0.43,688,1,0.0,160
Golden Nugget Casino DS,4,2005,6,35,0.02,561,3,0.0,27
Ridge Racer Unbounded,15,2012,3,25,0.02,728,3,39.0,48
Iron Man 2,17,2010,9,8,0.38,337,3,24.5,101
Famicom Remix Best Choice,11,2015,9,0,0.04,0,0,0.0,136
Sudoku Ball Detective,1,2009,5,289,0.04,1390,4,0.0,129
Disney's Tarzan Untamed,20,2001,2,5,0.18,52,1,34.2,72
Karaoke Revolution Volume 2,7,2004,6,14,0.23,58,1,41.5,10
Spider-Man: Mysterio's Menace,9,2001,9,4,0.61,67,1,46.35,136
Mega Man 7,8,1995,2,151,0.28,0,0,0.0,2
Wolfenstein: The Old Blood,18,2015,9,6,0.15,263,0,41.5,101
Plants vs. Zombies: Garden Warfare 2,10,2016,7,7,0.49,364,4,44.35,5
Bee Movie Game,5,2007,9,4,0.17,185,1,38.4,85
DEATH NOTE: L o Tsugu Mono,4,2007,11,14,0.02,0,0,0.0,20
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion - Shito, Futatabi",7,2008,6,58,0.12,0,0,0.0,10
BioShock 2,6,2010,7,2,1.54,183,2,48.1,40
NBA 2K10,7,2009,1,2,0.4,83,1,4.3,70
Crash Team Racing,13,1999,3,3,4.79,33,1,48.5,48
Yakuza,7,2005,9,8,0.8,269,2,41.6,85
PopCap Arcade Vol 1,5,2007,5,209,0.04,364,1,0.0,4
Kevin Van Dam: Big Bass Challenge,1,2010,1,74,0.03,0,0,0.0,44
Sniper Elite 3,5,2014,7,11,0.3,248,2,3.3,85
NBA Live 07,14,2006,1,7,0.06,18,1,37.9,72
Suzumiya Haruhi no Heiretsu,1,2009,11,8,0.02,0,0,0.0,69
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,23,2012,11,120,0.03,0,0,0.0,101
Kamaitachi no Yoru 2: Tokubetsu Hen,17,2006,11,120,0.01,0,0,0.0,101
Professor Layton and the Last Specter,4,2009,5,0,2.67,49,4,45.85,27
Battlefield 3,5,2011,7,7,7.32,29,2,45.7,85
Reader Rabbit Kindergarten,4,2008,6,128,0.27,859,1,0.0,27
The Dukes of Hazzard: Racing for Home,13,1999,3,5,1.19,0,0,0.0,48
NBA In The Zone '98,12,1997,1,14,0.27,0,0,0.0,72
"What Did I Do to Deserve This, My Lord!? 2",17,2008,4,131,0.25,0,0,0.0,48
Spider-Man 3,5,2007,2,4,0.57,6,3,35.0,76
Max Payne,7,2001,7,2,3.31,106,2,44.25,40
Psycho-Pass: Mandatory Happiness,23,2016,11,131,0.02,1009,3,35.65,101
Unreal Tournament 2004,15,2004,7,10,0.02,37,2,50.95,14
Road & Track Presents: The Need for Speed,13,1995,3,7,1.0,0,0,0.0,48
Stolen,7,2005,9,317,0.04,1500,3,29.2,85
Derby Stallion II,8,1994,1,49,0.87,0,0,0.0,2
NFL Head Coach 09,6,2008,1,7,0.14,57,1,35.55,3
Nicktoons Collection: Game Boy Advance Video Volume 1,9,2004,6,0,0.64,0,0,0.0,16
The Sims 2,20,2005,8,7,0.33,89,3,40.65,14
"Warhammer 40,000: Dawn of War: Soulstorm",15,2008,12,28,0.02,0,0,0.0,101
Atari Flashback Classics: Volume 2,10,2016,6,10,0.02,1134,1,0.0,5
The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon,17,2009,11,25,0.23,0,0,0.0,101
NASCAR 06: Total Team Control,7,2005,3,7,0.63,18,1,42.85,4
Bass Pro Shops: The Hunt,1,2010,1,166,0.23,915,3,0.0,44
Need for Speed: Shift 2 Unleashed,15,2011,3,7,0.19,0,0,0.0,48
Ken Griffey Jr.'s Slugfest,12,1999,1,0,0.29,0,0,0.0,72
Dragon Force II: Kamisarishi Daichi ni,24,1998,12,8,0.08,0,0,0.0,101
Clive Barker's Jericho,15,2007,7,34,0.01,794,2,35.25,14
WWE SmackDown vs. Raw 2010,5,2009,10,28,1.04,156,3,44.2,20
Barbie Fashion Show: An Eye for Style,4,2008,6,4,0.19,0,0,0.0,27
Rocket: Robot on Wheels,12,1999,2,5,0.12,0,0,0.0,72
Remember Me,15,2013,9,12,0.06,711,2,36.2,14
Lego Star Wars: The Force Awakens,23,2016,9,19,0.1,182,4,3.55,101
Deadly Arts,12,1998,10,14,0.04,0,0,0.0,136
Assault,16,1982,9,253,0.22,0,0,0.0,101
Wet,5,0,7,6,0.5,250,2,38.15,85
Batman: Return to Arkham,18,2016,9,19,0.11,866,3,42.6,101
Koudelka,13,1999,4,10,0.08,0,0,0.0,48
Gundam Breaker,6,2013,9,25,0.26,0,0,0.0,85
Worms 3D,14,2003,12,8,0.06,449,3,38.7,101
Terraria,10,2014,9,11,0.07,531,3,45.45,136
SOCOM: U.S. Navy SEALs,7,2002,7,3,3.65,92,2,44.95,40
Mafia II,5,2010,9,2,1.55,264,2,40.9,85
Super Bowling,12,1999,1,402,0.02,0,0,0.0,72
Final Fantasy VIII,13,1999,4,9,7.86,14,3,49.3,48
Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Gakkou-Hen,4,2008,8,14,0.04,0,0,0.0,160
Famicom Mini: Nazo no Murasame-Jou,9,2004,9,0,0.07,0,0,0.0,136
Pro Yakyuu Team o Tsukurou!,4,2008,1,8,0.19,0,0,0.0,76
LEGO Rock Band,6,2009,6,19,0.42,64,4,41.3,10
Tom Clancy's Rainbow Six,13,1999,7,61,1.64,0,0,0.0,14
Hi-Octane: The Track Fights Back!,13,1995,3,7,0.05,0,0,0.0,48
Yes! PreCure 5,4,2007,9,25,0.04,0,0,0.0,160
ATV: Quad Power Racing,9,2002,3,236,0.26,429,1,24.5,58
Judge Dredd: Dredd Vs Death,14,2003,7,23,0.02,248,2,31.85,14
Super Puyo Puyo 2,8,1995,5,89,0.47,0,0,0.0,38
Conflict Zone,7,2002,12,5,0.21,946,3,27.2,25
Jikkyou Powerful Pro Yakyuu 4,12,1997,1,14,0.31,0,0,0.0,72
Kirby Squeak Squad,4,2006,2,0,1.94,204,1,39.55,11
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.6,6,2015,11,25,0.02,0,0,0.0,20
Puzzle Quest: Challenge of the Warlords,4,2007,5,58,0.34,112,4,45.35,27
Ultimate Spider-Man,7,2005,9,4,0.72,6,3,40.95,85
Virtua Fighter 5 Online,5,2007,10,8,0.28,219,3,48.3,20
T'ai Fu: Wrath of the Tiger,13,1998,9,4,0.15,0,0,0.0,136
Wipeout 2,4,2011,6,4,0.25,568,1,0.0,27
Big Brain Academy,4,2005,6,0,6.62,0,1,40.7,27
California Speed,12,1999,6,39,0.16,0,0,0.0,14
Gravitar,16,1982,9,10,0.38,0,0,0.0,101
NCAA College Basketball 2K3,14,2002,1,8,0.14,276,1,46.2,72
Lost Heroes,17,2012,4,25,0.07,0,0,0.0,48
Company of Heroes,15,2006,12,28,0.05,586,2,50.9,101
Men in Black II: Alien Escape,7,2002,7,52,0.5,318,3,28.65,40
Marvel Super Hero Squad: Comic Combat,1,2011,9,28,0.18,166,4,0.0,56
Mortal Kombat,23,2012,10,19,0.65,133,2,46.4,101
Tom Clancy's Splinter Cell: Conviction,15,2010,9,5,0.11,52,2,44.1,14
Terraria,5,2013,9,11,0.67,531,3,44.1,85
Yokai Sangokushi,11,2016,9,37,0.56,0,0,0.0,136
"Tennis no Oji-Sama: Doubles no Oji-Sama - Boys, Be Glorious!",4,2009,1,14,0.01,0,0,0.0,76
Turok,6,2008,9,129,0.67,491,2,36.5,85
World Snooker Championship 2007,5,2007,1,8,0.01,0,0,0.0,76
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",14,2005,9,32,0.2,50,3,39.0,136
Hogan's Alley,2,1984,7,0,1.27,0,0,0.0,95
Curse of the Amsterdam Diamond,4,2012,5,526,0.01,0,0,0.0,27
Suggoi! Arcana Heart 2,7,2009,10,256,0.03,0,0,0.0,85
Guilty Gear Xrd: Sign,10,2014,10,221,0.16,0,0,0.0,136
Kanzen Chuuki Pro Yakyuu Greatest Nine,24,1995,1,8,0.22,0,0,0.0,72
Hometown Story,11,2013,4,70,0.43,685,4,26.5,48
ATV: Quad Frenzy,4,2005,3,35,0.11,561,1,17.5,11
Karaoke Revolution Presents American Idol Encore,5,2008,6,14,0.11,281,1,38.5,10
Rayman Raving Rabbids,4,2007,6,5,0.14,1093,1,31.05,27
Time and Eternity,6,2012,4,131,0.17,797,3,23.5,4
The Walking Dead: Season Two,5,2014,11,173,0.1,0,0,0.0,20
One Piece: Unlimited Adventure,1,2007,11,25,0.19,722,3,37.75,69
MLB 2K9 Fantasy All-Stars,4,2009,1,2,0.09,749,1,0.0,76
Contra: Shattered Soldier,7,2002,7,14,0.58,85,3,42.3,40
Need for Speed: The Run,1,2011,9,7,0.27,717,4,33.8,56
Plants vs. Zombies,4,2011,12,92,1.1,91,4,44.2,20
Tony Hawk's Pro Skater 3,13,2001,1,4,1.67,249,1,47.65,72
Blazing Heroes,24,1995,4,8,0.3,0,0,0.0,48
Slide Adventure: Mag Kid,4,2007,9,0,0.01,0,0,0.0,160
Sally's Salon,4,2008,8,12,0.13,48,1,0.0,160
Odin Sphere: Leifthrasir,23,2016,4,131,0.14,567,3,50.45,48
Tourist Trophy: The Real Riding Simulator,7,2006,3,3,0.68,0,0,0.0,4
F1 Pole Position 64,12,1997,3,5,0.25,0,0,0.0,48
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,11,2012,11,120,0.03,0,0,0.0,136
FlatOut,14,2004,3,87,0.17,728,3,39.6,48
LEGO Pirates of the Caribbean: The Video Game,1,2011,9,32,1.55,50,4,40.0,56
