Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas globais,Desenvolvedora,Classificacao,Media de pontuacao,Agrupamento
Until Dawn,9,2015,10,16,1.66,253,1,43.6,1211
Dawn of Mana,6,2006,3,15,0.43,46,2,31.9,642
Dragoneer's Aria,16,2007,3,48,0.07,1275,3,31.0,92
Yakuza,6,2005,8,8,0.8,269,1,41.6,381
Age of Empires III: The Asian Dynasties,14,2007,11,1,0.06,440,2,44.75,762
Need for Speed: The Run,0,2011,8,7,0.27,717,3,33.8,145
FIFA 15,17,2014,0,7,2.18,18,0,43.7,92
James Bond 007: Everything or Nothing,6,2004,6,7,2.31,97,2,46.55,8
FIFA Street 3,5,2008,0,7,0.32,35,0,34.95,33
Battle Arena Toshinden,12,1994,9,3,1.27,327,2,37.65,583
Homefront: The Revolution,9,2016,6,41,0.35,756,1,25.9,68
Ben 10: Alien Force,0,2008,8,101,0.8,417,3,26.4,145
EverGrace,6,2000,3,5,0.35,163,2,33.4,642
Dungeon Defenders,14,2011,3,53,0.02,1605,3,44.15,92
Brunswick Pro Bowling,0,2007,0,11,0.38,624,0,28.7,29
Dragon Ball Z: Budokai 2,19,2004,9,10,0.27,519,2,35.9,583
Major League Baseball 2K10,4,2010,0,2,0.51,83,0,41.8,433
Doom 3 BFG Edition,14,2012,6,6,0.03,259,1,32.15,63
XGRA: Extreme G-Racing Association,6,2004,2,21,0.62,158,2,38.3,642
NBA Ballers: Phenom,6,2006,0,39,0.47,162,0,38.75,103
Hunter: The Reckoning Redeemer,13,2003,8,117,0.17,337,1,40.3,583
NHL 16,17,2015,0,7,0.48,553,3,43.0,92
Dynasty Warriors 7: Xtreme Legends,5,2011,8,48,0.26,188,2,35.9,381
Assassin's Creed III,18,2012,8,5,0.35,104,1,46.05,583
Tom Clancy's EndWar,5,2008,11,5,0.66,149,2,41.3,76
Ape Escape 3,6,2005,1,3,0.13,233,3,42.75,103
Street Fighter V,9,2016,9,12,0.9,48,2,40.2,744
X-Men: Destiny,4,2011,8,4,0.24,475,2,26.0,88
The Crew,17,2014,2,5,0.64,235,2,34.95,92
Whiplash,6,2003,2,21,0.13,298,2,37.35,642
Star Wars: Empire at War,14,2006,11,18,0.08,1231,2,43.7,762
Darksiders II,5,2012,8,28,0.84,373,1,45.55,381
Egg Mania: Eggstreme Madness,19,2002,4,188,0.01,1039,0,36.0,104
Magna Carta: Tears of Blood,6,2004,3,11,0.22,932,2,36.5,642
Dynasty Tactics 2,6,2003,11,48,0.11,393,2,43.55,705
Stuntman: Ignition,5,2007,2,28,0.52,251,2,41.1,62
NBA Live 16,9,2015,0,7,0.18,18,0,32.55,463
Dead to Rights II,6,2005,6,7,0.2,970,1,28.15,8
NASCAR Thunder 2004,6,2003,2,7,1.08,57,0,48.45,642
Driver '76,16,2007,2,5,0.24,129,1,32.45,92
Need for Speed: ProStreet,4,2007,2,7,2.05,30,3,39.55,62
Puss in Boots,5,2011,8,28,0.09,166,3,38.5,381
Karaoke Revolution,6,2003,5,14,0.35,58,0,46.05,42
Madden NFL 25,5,2013,0,7,1.87,18,0,40.05,33
Kinect Rush: A Disney Pixar Adventure,4,2012,10,1,0.58,452,0,36.55,729
NFL 2K2,6,2001,0,8,0.89,83,0,46.25,103
Murdered: Soul Suspect,17,2014,8,15,0.16,755,1,29.0,583
Darksiders II,18,2012,8,28,0.15,373,1,46.6,583
EA Sports Active 2,4,2010,0,7,0.39,35,0,36.7,433
Samurai Warriors 2,4,2006,8,48,0.08,188,2,30.35,88
Fantastic Four: Rise of the Silver Surfer,0,2007,8,2,0.05,641,2,22.45,145
NCAA Football 09 All-Play,0,2008,0,7,0.16,35,0,27.4,29
Torchlight,14,2009,3,271,0.07,1335,2,45.5,92
Plants vs. Zombies: Garden Warfare,14,2014,6,7,0.02,364,3,42.9,63
Majin and the Forsaken Kingdom,4,2010,10,25,0.19,488,2,41.05,729
Jak 3,6,2004,1,3,1.85,33,2,46.3,103
Rayman Raving Rabbids,3,2007,5,5,0.14,1093,0,31.05,64
Disney's Stitch: Experiment 626,6,2002,8,3,0.31,337,0,33.4,381
Marc Ecko's Getting Up: Contents Under Pressure,6,2006,8,10,0.05,105,1,38.1,381
The Elder Scrolls V: Skyrim,4,2011,3,6,8.79,17,1,52.2,62
Tiger Woods PGA Tour 14,4,2013,0,7,0.35,57,0,41.6,433
Sega Superstars Tennis,0,2008,0,8,1.05,129,3,39.0,29
Knight's Apprentice: Memorick's Adventures,13,2004,8,361,0.02,1228,2,28.75,583
BeyBlade VForce: Super Tournament Battle,19,2002,8,10,0.21,497,0,20.25,583
Dragon Ball: Revenge of King Piccolo,0,2009,8,25,0.2,841,3,36.15,145
Truth or Lies,4,2010,5,28,0.11,166,2,16.6,20
Deus Ex: The Conspiracy,6,2002,8,21,0.21,774,1,44.95,381
Bangai-O Spirits,3,2008,6,58,0.08,663,3,45.55,99
Disney's Kim Possible 3: Team Possible,8,2005,1,32,0.46,250,0,41.85,10
Turning Point: Fall of Liberty,4,2008,6,34,0.29,132,2,24.9,20
7 Wonders of the Ancient World,3,2007,4,326,0.13,1154,0,34.15,111
FIFA Soccer 13,4,2012,8,7,5.16,22,0,48.05,88
Get Fit with Mel B,5,2010,0,195,0.38,730,0,39.4,33
Spider-Man 3,14,2007,1,4,0.02,185,2,34.55,92
NCAA March Madness 07,6,2007,0,7,0.56,35,0,35.8,103
Kingdom Hearts II,6,2005,3,15,4.33,46,3,48.0,642
Rock Revolution,4,2008,5,14,0.27,850,2,21.55,20
World of Goo,14,2008,4,474,0.04,1514,0,49.25,104
Medal of Honor European Assault,19,2005,6,7,0.25,36,2,39.45,63
Binary Domain,5,2012,8,8,0.33,180,1,40.1,381
Call of Duty: Infinite Warfare,9,2016,6,4,4.46,7,1,40.2,68
Harry Potter: Quidditch World Cup,13,2003,0,7,0.19,22,0,38.25,1719
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,6,2007,2,39,0.07,696,1,21.45,642
Shrek Super Party,6,2002,5,71,0.29,74,0,17.55,42
Guitar Hero: World Tour,0,2008,5,4,3.62,67,2,46.8,19
Big Mutha Truckers,13,2002,2,87,0.19,453,2,31.65,92
Dragon Ball Z for Kinect,4,2012,9,25,0.01,256,2,25.55,1280
Jet Grind Radio,8,2003,8,8,0.03,67,0,41.65,12
Modnation Racers: Road Trip,22,2012,2,3,0.29,313,0,34.2,92
Tiger Woods PGA Tour 12: The Masters,5,2011,0,7,0.89,22,0,43.65,33
The King of Fighters XIV,9,2016,9,41,0.15,775,2,43.85,744
Tom Clancy's Ghost Recon: Island Thunder,13,2003,6,5,0.87,227,1,44.9,63
SimCity Creator,3,2008,7,7,0.34,22,0,38.15,88
Patapon,16,2007,5,3,0.81,233,0,47.35,983
LEGO Indiana Jones: The Original Adventures,3,2008,8,4,2.2,64,0,43.95,88
Myst,3,2007,10,39,0.1,1242,0,23.25,729
Bullet Witch,4,2006,6,10,0.1,267,1,30.55,20
MySims,3,2007,7,7,3.66,91,0,37.15,88
Mace Griffin: Bounty Hunter,6,2003,6,7,0.19,634,1,35.15,8
Midnight Club 3: DUB Edition Remix,6,2006,2,2,1.16,39,3,46.95,642
TimeShift,14,2007,6,23,0.01,703,1,39.3,63
Guilty Gear X: Advance Edition,8,2002,9,100,0.06,496,2,36.45,16
Wanted: Weapons of Fate,4,2009,6,19,0.37,618,1,34.75,20
Far Cry: Primal,9,2016,8,5,2.26,52,1,41.15,873
NASCAR The Game: Inside Line,5,2012,2,4,0.08,453,0,40.25,62
Skies of Arcadia,21,2000,3,8,0.09,411,2,51.2,92
Red Faction: Armageddon,14,2011,6,28,0.09,119,1,40.85,63
DC Universe Online,14,2011,3,75,0.23,633,2,39.4,92
Major League Baseball 2K5,6,2005,0,2,1.48,276,0,44.7,103
Fatal Frame: Maiden of Black Water,18,2014,8,0,0.11,1023,1,37.3,583
Crash Nitro Kart,8,2003,2,23,0.46,67,0,42.65,17
Tony Hawk's Proving Ground,0,2007,0,4,0.25,367,2,31.6,29
Greg Hastings' Tournament Paintball,13,2004,6,4,0.54,608,2,41.6,63
SimCity (2013),14,2013,7,7,1.42,89,3,33.1,63
Supreme Commander,14,2007,11,28,0.05,765,3,47.15,762
Sacred 3,5,2014,3,41,0.1,1227,1,29.7,62
Test Drive: Eve of Destruction,13,2004,2,10,0.09,412,2,40.35,92
Test Drive: Ferrari Legends,5,2012,2,53,0.04,1489,0,33.45,62
Elebits,0,2006,8,14,0.32,69,0,41.2,145
Family Guy: Back to the Multiverse,5,2012,8,4,0.26,172,1,23.2,381
Super Robot Taisen OG Saga: Endless Frontier,3,2008,3,25,0.08,230,2,41.0,149
Ninjatown,3,2008,11,81,0.13,1139,0,44.15,729
Shadow The Hedgehog,19,2005,1,8,0.99,125,3,28.8,92
Pro Evolution Soccer 2017,17,2016,0,14,0.05,69,0,46.55,92
Alice: Madness Returns,14,2011,10,7,0.12,575,1,41.7,762
Theatrhythm: Final Fantasy,10,2012,5,15,0.5,114,3,42.9,849
Borderlands,14,2009,6,2,0.18,100,1,44.4,63
Hot Pixel,16,2007,4,10,0.03,1555,2,30.75,104
HSX HyperSonic.Xtreme,6,2002,2,162,0.51,630,0,30.7,642
Tom Clancy's Splinter Cell: Double Agent,4,2006,8,5,0.78,149,1,46.55,88
Duke Nukem 3D: 20th Anniversary World Tour,9,2016,6,480,0.03,100,1,41.95,68
Tekken 5,6,2005,9,25,3.87,32,2,48.3,441
Dragon Ball Z: Budokai 3,6,2004,9,10,1.94,117,2,42.95,441
Fatal Inertia,4,2007,2,48,0.13,393,3,32.6,62
Saints Row IV,14,2013,8,41,0.19,119,1,46.7,583
No More Heroes 2: Desperate Struggle,0,2010,8,70,0.39,537,1,46.4,145
Medal of Honor: Rising Sun,13,2003,6,7,1.17,36,2,35.4,63
MLB Power Pros,0,2007,0,14,0.29,69,0,45.7,29
NBA 2K9,4,2008,0,2,1.27,83,0,45.6,433
Mobile Suit Gundam: Journey to Jaburo,6,2000,7,25,0.7,503,2,33.05,8
X-Men Legends II: Rise of Apocalypse,13,2005,3,4,0.44,161,2,46.35,92
Plants vs. Zombies,3,2011,11,92,1.1,91,3,44.2,729
Sunny Garcia Surfing,6,2001,0,5,0.03,213,0,34.45,103
The Sly Collection,5,2010,1,3,0.68,525,3,46.9,33
The Sims 2,3,2005,7,7,0.93,243,3,38.05,88
4x4 EVO 2,13,2001,2,212,0.24,231,0,32.6,92
Supercar Street Challenge,6,2001,2,4,1.12,181,0,32.3,642
The Urbz: Sims in the City,13,2004,7,7,0.34,89,2,38.25,63
Steambot Chronicles: Battle Tournament,16,2008,9,392,0.06,943,3,30.15,583
LEGO Star Wars II: The Original Trilogy,19,2006,8,18,0.97,50,3,46.55,583
LEGO Batman 2: DC Super Heroes,22,2012,8,19,0.33,182,3,34.35,583
Batman: Arkham Origins,18,2013,8,19,0.31,798,2,37.7,583
Street Fighter X Tekken,5,2012,9,12,0.83,48,2,44.65,441
SOCOM: U.S. Navy SEALs: Combined Assault,6,2006,6,3,2.04,92,2,40.5,8
Monster Kingdom: Jewel Summoner,16,2006,3,3,0.04,1516,2,36.4,92
Harry Potter and the Goblet of Fire,16,2005,8,7,0.19,22,3,38.7,583
Duel Masters,6,2004,11,10,0.27,337,0,37.15,705
Dead Island,5,2011,8,41,2.27,171,1,38.8,381
LEGO Marvel Super Heroes,18,2013,8,19,0.74,182,3,45.0,583
Generation of Chaos,16,2005,3,162,0.06,1225,2,33.85,92
Iron Man,3,2008,8,8,0.51,250,3,31.5,88
Rayman Origins,14,2012,1,5,0.08,399,3,47.2,92
Supreme Commander 2,4,2010,11,15,0.34,765,3,41.05,76
Ultimate NES Remix,10,2014,8,53,0.27,114,0,38.3,494
The Lord of the Rings: The Fellowship of the Ring,13,2002,8,20,0.53,608,2,32.8,583
Assassin's Creed IV: Black Flag,5,2013,8,5,3.71,12,1,48.05,381
Just Dance 2016,9,2015,5,5,0.36,12,3,39.9,261
BloodRayne,6,2002,6,20,0.42,231,1,41.75,8
Onimusha 3: Demon Siege,6,2004,8,12,1.45,48,1,46.8,381
DiRT Rally,17,2016,2,34,0.12,294,0,47.0,92
Iron Man 2,4,2010,8,8,0.27,721,2,23.45,88
NHL 17,9,2016,0,7,0.33,771,3,41.9,463
MySims SkyHeroes,0,2010,8,7,0.29,22,3,36.1,145
MLB 2005,6,2004,0,3,0.9,398,0,42.8,103
Left 4 Dead,14,2008,6,7,0.02,77,1,49.1,63
Harry Potter and the Order of the Phoenix,14,2007,8,7,0.04,107,3,35.05,583
Full Spectrum Warrior,13,2004,11,28,0.73,93,1,46.35,762
Crash Nitro Kart,13,2003,2,23,0.31,67,0,39.45,92
Rango: The Video Game,4,2011,8,7,0.13,592,3,38.0,88
Darkwatch,13,2005,6,5,0.21,72,1,41.55,63
Bionicle Heroes,19,2006,6,21,0.11,50,3,28.1,63
Fortune Street,0,2011,5,0,0.48,431,0,37.75,19
Picross 3D,3,2009,4,0,0.49,34,0,45.7,111
Fast Racing Neo ,18,2016,8,0,0.01,659,0,44.75,583
X-Men: Next Dimension,19,2002,9,4,0.13,181,2,35.6,583
Deus Ex: Human Revolution,14,2011,6,15,0.58,330,1,49.25,63
Tak and the Power of Juju,19,2003,1,28,0.4,260,0,39.6,92
Frogger: Helmet Chaos,16,2005,1,14,0.11,170,0,36.2,92
Dead or Alive Xtreme 2,4,2006,0,48,0.25,225,1,29.85,433
Rogue Trooper,6,2006,6,21,0.04,248,2,39.6,8
You Don't Know Jack,0,2011,5,28,0.21,956,2,44.35,19
Batman: Rise of Sin Tzu,8,2003,8,5,0.07,12,0,34.9,12
The King of Fighters XIII,4,2011,9,70,0.33,775,2,43.6,1280
Tony Hawk's Underground 2,6,2004,0,4,2.37,60,2,45.9,103
X-Men: Mutant Academy 2,12,2001,9,4,0.72,500,2,40.2,583
The Godfather: Mob Wars,16,2006,8,7,0.1,367,1,33.45,583
Tomb Raider: Anniversary,0,2007,8,21,0.85,298,2,40.15,145
Prince of Persia: The Forgotten Sands,0,2010,8,5,0.23,104,2,42.55,145
Tom Clancy's HAWX,5,2009,8,5,0.56,574,2,41.05,381
XCOM 2,9,2016,11,2,0.14,246,2,48.0,590
Divinity: Original Sin,14,2014,3,82,0.02,908,1,47.85,92
Disney Magical World,10,2013,10,0,0.92,199,0,39.25,762
Paper Mario: The Thousand-Year Door,19,2004,3,0,2.25,55,0,48.2,92
Star Wars: Demolition,12,2000,2,4,0.46,109,2,34.75,92
Ghost Rider,16,2007,8,2,0.24,342,2,27.35,583
Resident Evil 6,9,2016,6,12,0.08,48,1,33.35,68
Big Mutha Truckers,6,2002,2,87,0.84,453,2,33.65,642
Need for Speed Rivals,5,2013,2,7,1.27,200,3,42.45,62
Call of Duty: Advanced Warfare,9,2014,6,4,7.66,26,1,44.35,68
Major League Baseball 2K8,5,2008,0,6,0.31,276,0,36.3,33
WWE 2K14,4,2013,0,2,1.11,156,2,41.35,433
World Soccer Winning Eleven 8 International,13,2004,0,14,0.09,85,0,49.2,1719
Commandos 2: Men of Courage,6,2002,11,21,0.18,969,2,36.9,705
Deadliest Warrior: Ancient Combat,4,2012,9,461,0.04,38,1,21.65,1280
Halo Wars,4,2009,11,1,2.62,153,2,44.6,76
Disney Universe,0,2011,8,32,1.02,103,3,33.5,145
Persona 4: Dancing All Night,22,2015,5,131,0.32,788,2,42.3,983
Sly Cooper: Thieves in Time,5,2013,1,16,0.54,525,3,41.65,33
Call of Duty: Black Ops II,5,2012,6,4,13.79,6,1,44.15,125
Ford Racing Off Road,0,2008,2,171,0.47,652,0,21.65,531
Teen Titans,19,2006,8,28,0.33,250,3,34.95,583
NASCAR The Game: Inside Line,4,2012,2,4,0.1,453,0,37.7,62
Farming Simulator 2013,5,2013,7,82,0.14,408,0,21.45,125
Area 51,6,2005,6,39,0.45,577,1,41.7,8
MotorStorm: Arctic Edge,6,2009,2,3,0.34,329,2,40.15,642
Kinetica,6,2001,2,3,0.32,63,2,42.65,642
Trauma Center: New Blood,0,2007,7,0,0.29,355,2,42.5,4
NCAA Basketball 10,5,2009,0,7,0.33,35,0,41.4,33
StarCraft II: Legacy of the Void,14,2015,11,4,0.53,41,2,48.15,762
Armored Core 4,5,2006,7,11,0.2,163,2,35.9,125
Gears of War,14,2007,6,1,0.02,37,1,47.4,63
Unreal Tournament 2003,14,2002,6,10,0.01,493,1,47.1,63
Grand Theft Auto: Liberty City Stories,6,2006,8,2,3.54,25,1,42.9,381
Skylanders Giants,4,2012,8,4,1.3,140,3,43.3,88
Need for Speed Carbon: Own the City,16,2006,2,7,2.42,35,3,40.45,92
Body and Brain Connection,4,2010,5,25,0.2,145,0,30.9,20
Driver: San Francisco,4,2011,2,5,0.7,416,2,43.8,62
Attack of the Movies 3D,4,2010,6,35,0.04,1003,2,19.85,20
Ratatouille,6,2007,8,28,0.85,452,0,36.5,381
Mega Man Legacy Collection,9,2016,1,12,0.08,80,0,41.55,463
Batman: Arkham Knight,14,2015,8,19,0.13,1141,1,36.25,583
The Darkness II,4,2012,6,2,0.39,493,1,43.75,20
Oddworld: Munch's Oddysee,8,2003,1,28,0.06,206,0,23.25,10
NBA 2K8,4,2007,0,2,0.85,83,0,44.0,433
Jonny Moseley Mad Trix,6,2001,0,76,0.14,733,2,24.85,103
Bionicle,6,2003,8,7,0.43,90,0,27.3,381
Fire Emblem: Radiant Dawn,0,2007,11,0,0.49,55,3,43.35,858
Iron Man,5,2008,8,8,0.68,527,2,24.1,381
Mega Man Maverick Hunter X,16,2005,1,12,0.31,48,3,43.65,92
The Ant Bully,6,2006,1,39,0.1,250,3,28.1,103
State of Emergency 2,6,2006,6,81,0.08,148,1,24.9,8
Killer is Dead,4,2013,8,41,0.12,537,1,35.6,88
NBA ShootOut 2003,6,2002,0,3,0.23,313,0,33.95,103
AirForce Delta Storm,13,2001,6,14,0.18,425,0,34.05,63
Tork: Prehistoric Punk,13,2005,1,1,0.03,1538,0,34.1,92
The Sims 2,14,2004,7,7,0.29,89,2,49.4,63
E.T. The Extra-Terrestrial,8,2001,8,213,0.01,1423,0,24.2,12
Super Mario Galaxy,0,2007,1,0,11.35,0,0,52.95,29
RPG Maker,12,1997,3,49,0.5,639,0,37.1,92
Tomb Raider: Underworld,3,2008,8,21,0.19,990,2,39.2,88
EVE Online,14,2003,3,260,0.2,963,2,38.25,92
Borderlands 2,14,2012,6,2,0.93,100,1,48.6,63
FIFA Street 2,6,2006,0,7,0.37,35,0,33.35,103
The Legend of Heroes: Trails of Cold Steel II,5,2014,3,131,0.15,899,2,48.9,62
Virtua Fighter 4: Evolution,6,2003,9,8,0.71,180,2,51.0,441
Star Wars: Battlefront II,16,2005,6,18,1.21,339,2,38.75,63
Tom Clancy's HAWX,14,2009,8,5,0.04,574,2,38.65,583
Gitaroo Man,6,2001,5,28,0.05,1229,0,45.35,42
Call of Duty: Modern Warfare 3,4,2011,6,4,14.73,5,1,45.7,20
Gears of War 3,4,2011,6,1,6.21,37,1,49.4,20
Zumba Fitness Core,4,2012,5,11,0.05,275,3,41.85,20
Dragon Age: Origins,5,2009,3,7,1.67,116,1,47.45,62
Ping Pals,3,2004,5,28,0.11,278,0,15.95,64
Devil May Cry 4,4,2008,8,12,1.34,48,1,46.0,88
Superman: Shadow of Apokolips,6,2002,8,10,0.42,413,0,35.6,381
Pinball Hall of Fame: The Williams Collection,4,2009,5,67,0.12,245,3,45.65,20
NASCAR Heat Evolution,9,2016,2,444,0.05,1452,0,34.9,248
NHL 2K9,4,2008,0,2,0.17,83,3,37.85,433
Epic Mickey,0,2010,1,32,3.0,121,0,40.0,29
Mortal Kombat: Deadly Alliance,8,2002,9,39,0.01,139,1,44.9,16
Freedom Fighters,19,2003,6,7,0.13,126,2,45.4,63
Tales of Phantasia,8,2003,3,0,0.29,32,3,42.05,17
Worms: Open Warfare 2,16,2007,11,28,0.44,673,3,44.05,762
Nervous Brickdown,3,2007,4,21,0.02,1397,0,38.75,111
Rune Factory: Frontier,0,2008,3,70,0.37,580,3,43.75,531
F1 2001,6,2001,2,7,0.15,18,0,45.65,642
Onimusha: Dawn of Dreams,6,2006,8,12,0.64,48,1,44.95,381
Juiced,6,2005,2,28,0.53,548,2,37.85,642
WWE SmackDown vs. Raw 2011,4,2010,9,28,0.88,156,2,41.3,1280
Call of Duty 4: Modern Warfare,5,2007,6,4,6.68,7,1,51.2,125
"Crouching Tiger, Hidden Dragon",6,2003,8,5,0.13,346,2,25.85,381
NBA Starting Five,13,2002,0,14,0.02,69,0,26.75,1719
Madden NFL 13,18,2012,0,7,0.23,57,0,40.85,92
NCAA Football 14,4,2013,0,7,1.09,57,0,41.4,433
Tokyo Xtreme Racer Zero,6,2000,2,67,1.5,272,0,42.45,642
Madden NFL 2005,8,2004,0,7,0.39,293,0,43.3,10
Tokyo Xtreme Racer DRIFT,6,2003,2,105,0.18,272,0,33.8,642
Dance Dance Revolution Ultramix,13,2003,7,14,0.54,170,0,45.4,63
Wolfenstein: The Old Blood,14,2015,8,6,0.09,263,1,41.8,583
NieR,4,2010,3,15,0.29,267,1,37.65,62
[Prototype],4,2009,8,4,1.31,311,1,42.9,88
Magnetica,3,2006,4,0,0.14,878,0,38.05,111
Resident Evil: Revelations 2,17,2015,8,12,0.1,48,1,41.25,583
Drakengard 3,5,2013,3,15,0.31,796,1,34.35,62
Pitfall: The Lost Expedition,19,2004,1,4,0.08,142,0,40.8,92
Lost Planet 3,14,2013,6,12,0.04,132,2,33.6,63
Super Mario Sunshine,19,2002,1,0,6.31,0,0,50.3,92
FIFA Street 2,13,2006,0,7,0.08,35,0,35.05,1719
Harvest Moon: Hero of Leaf Valley,16,2009,7,70,0.14,457,0,40.95,63
Britney's Dance Beat,6,2002,5,28,0.24,900,0,33.9,42
Need for Speed Underground,13,2003,2,7,1.71,22,0,45.85,92
XXX,8,2002,8,4,0.11,80,0,27.5,12
Lost in Shadow,0,2010,1,14,0.12,16,3,38.35,29
Grand Theft Auto IV,5,2008,8,2,10.5,3,1,52.75,381
Major League Baseball 2K9,0,2009,0,2,0.26,564,0,32.75,29
JU-ON: The Grudge,0,2009,8,70,0.1,981,1,22.3,145
Fire Emblem: Path of Radiance,19,2005,8,0,0.54,55,2,46.95,583
NHL 15,17,2014,0,7,0.41,18,3,31.1,92
Dark Angel: Vampire Apocalypse,6,2001,3,139,0.09,1277,2,29.3,642
Monster Rancher Advance 2,8,2002,7,48,0.01,1673,0,44.2,12
NBA 2K15,17,2014,0,2,1.72,83,0,44.15,92
Mario Sports Mix,0,2010,0,0,2.08,46,0,35.55,29
Gods Eater Burst,16,2010,8,25,0.66,538,2,39.45,583
Devil May Cry 4,5,2008,8,12,1.57,48,1,46.1,381
Beyond: Two Souls,5,2013,10,3,1.63,118,1,39.05,441
Enemy Front,4,2014,6,25,0.04,1426,1,20.4,20
Green Day: Rock Band,5,2010,5,31,0.41,707,2,41.15,484
Crash: Mind Over Mutant,6,2008,1,23,0.5,311,3,39.75,103
Castlevania: The Dracula X Chronicles,16,2007,1,14,0.41,69,2,43.9,92
Sid Meier's Civilization: Beyond Earth,14,2014,11,2,0.36,246,3,43.25,762
Aegis of Earth: Protonovus Assault,9,2016,8,148,0.03,198,2,32.4,873
Rapala Fishing Frenzy 2009,5,2008,0,4,0.17,565,0,17.7,33
Predator: Concrete Jungle,13,2005,8,23,0.1,103,1,27.0,583
Mighty No. 9,18,2016,1,41,0.03,772,3,26.3,92
Hitman: Absolution,5,2012,8,15,2.14,126,1,45.25,381
Grand Theft Auto 2,12,1998,8,2,3.42,8,2,39.0,583
Tenkai Knights: Brave Battle,10,2014,8,25,0.02,247,3,14.2,494
Top Spin 3,5,2008,8,2,0.57,573,0,41.25,381
Lightning Returns: Final Fantasy XIII,5,2013,3,15,1.07,46,2,35.95,62
Blackthorne,8,2003,8,4,0.01,74,2,37.3,12
Hatsune Miku: Project Diva f,5,2013,5,8,0.28,180,2,40.7,484
Kessen III,6,2004,11,48,0.07,393,2,40.55,705
World Championship Poker 2: Featuring Howard Lederer,16,2005,5,11,0.14,661,2,33.9,983
Pac-Man Collection,8,2001,4,10,2.94,74,0,43.4,0
The Wonderful 101,18,2013,8,0,0.4,289,2,43.25,583
Antz Extreme Racing,13,2002,2,87,0.02,1208,0,21.85,92
WWE Wrestlemania X8,19,2002,9,28,0.49,156,2,35.45,583
Army of Two: The 40th Day,16,2010,6,7,0.32,787,1,27.5,63
Prototype: Biohazard Bundle,9,2016,8,4,0.02,311,1,25.0,873
