Ano de lancamento,Classificacao,Desenvolvedora,Genero,Media de pontuacao,Nome,Plataforma,Publicadora,Vendas globais
2006,0,842,8,42.9,Mercury Meltdown,16,10,0.06
2007,2,89,7,40.65,The Sims 2: Bon Voyage,14,7,0.03
2004,0,18,0,49.25,MVP Baseball 2004,13,7,0.59
2006,2,12,7,36.95,Blazing Angels: Squadrons of WWII,4,5,0.42
2011,2,188,8,33.0,Dynasty Warriors 7,4,48,0.24
2015,2,236,3,38.45,Exist Archive: The Other Side of the Sky,9,389,0.04
2008,3,125,1,36.35,Sonic Unleashed,6,8,0.76
2005,0,68,0,42.35,Super Mario Strikers,19,0,1.61
2006,1,566,8,28.6,Jaws Unleashed,13,28,0.15
2006,0,91,3,45.1,Final Fantasy V Advance,8,0,0.26
2009,3,581,3,42.5,3D Dot Game Heroes,5,81,0.57
1997,1,77,6,52.55,Half-Life,14,23,4.12
2003,2,103,8,44.05,Sphinx and the Cursed Mummy,13,28,0.12
2006,3,895,3,25.5,Digimon World: Data Squad,6,25,0.24
2008,0,364,4,42.05,Peggle Nights,14,209,0.02
2002,0,269,4,47.75,Super Monkey Ball 2,19,10,1.52
2006,3,50,6,32.45,Bionicle Heroes,4,21,0.07
2007,3,110,8,25.6,The Golden Compass,6,8,0.52
2012,1,1029,3,41.1,The Secret World,14,285,0.17
2011,1,354,6,35.7,Yakuza: Dead Souls,5,8,0.6
2003,0,74,5,23.65,Shrek Super Party,19,71,0.05
2007,2,40,6,49.45,Metroid Prime 3: Corruption,0,0,1.79
2003,0,162,0,38.8,NFL Blitz Pro,13,39,0.05
2008,1,1193,11,30.85,Warhammer: Battle March,4,41,0.11
2003,2,649,7,44.6,Secret Weapons Over Normandy,6,18,0.48
2006,3,537,3,40.6,Contact,3,70,0.1
2001,0,50,1,36.55,Crash Bandicoot: The Wrath of Cortex,6,20,5.42
2013,2,218,11,40.1,Total War: Rome II,14,8,0.72
2011,3,1054,10,29.55,Doctor Lautrec and the Forgotten Knights,10,14,0.16
2005,1,341,8,42.55,The Suffering: Ties That Bind,13,39,0.09
2000,1,37,6,41.9,Unreal Tournament,6,52,0.58
2005,3,249,8,38.9,Shrek SuperSlam,19,4,0.22
2007,1,974,6,27.8,Soldier of Fortune: Payback,4,4,0.2
2003,2,36,6,37.8,Medal of Honor: Rising Sun,6,7,5.13
2008,2,1225,3,32.4,Neverland Card Battles,16,323,0.05
2004,1,162,6,45.95,Psi-Ops: The Mindgate Conspiracy,13,39,0.17
2003,0,574,5,43.15,Chessmaster,6,5,0.39
2016,0,27,0,45.0,FIFA 17,9,7,7.59
2006,0,564,0,38.65,College Hoops 2K6,4,2,0.12
2003,1,340,8,35.25,Resident Evil - Code: Veronica X,19,12,0.06
2011,1,59,3,40.2,Fable III,14,1,0.32
2008,1,968,3,29.5,Dark Messiah of Might and Magic Elements,4,5,0.2
2011,1,5,6,40.25,Call of Duty: Modern Warfare 3,14,4,1.72
2009,1,618,1,38.65,Bionic Commando,4,12,0.28
2003,0,34,2,34.45,Kirby Air Ride,19,0,1.62
2006,0,186,8,26.0,LEGO Star Wars II: The Original Trilogy,3,18,1.07
2006,0,35,0,42.55,FIFA World Cup Germany 2006,6,7,0.57
2006,0,186,8,31.0,LEGO Star Wars II: The Original Trilogy,8,18,0.09
2004,1,297,6,48.55,Far Cry,14,5,0.05
2002,0,103,8,41.95,Harry Potter and the Chamber of Secrets,8,7,1.99
2005,1,52,8,46.75,Prince of Persia: The Two Thrones,6,5,0.68
2007,3,758,8,15.9,Chicken Shoot,0,84,0.35
2004,0,142,8,37.75,Shark Tale,6,4,0.75
2009,1,406,8,45.3,Brutal Legend,5,7,0.94
2002,1,231,6,40.75,BloodRayne,19,20,0.11
2003,2,310,1,39.25,Vexx,13,30,0.1
2013,3,182,8,43.8,LEGO Marvel Super Heroes,4,19,2.22
2005,0,180,5,42.85,Super Monkey Ball Deluxe,6,8,0.24
2013,1,207,6,51.25,BioShock Infinite,5,2,1.69
2008,1,198,8,38.9,Tenchu: Shadow Assassins,0,5,0.21
2008,0,145,0,38.4,Mario Super Sluggers,0,0,1.89
2004,2,48,9,43.35,Street Fighter Anniversary Collection,6,12,0.66
2004,2,393,11,39.4,Nobunaga's Ambition: Rise to Power,6,48,0.08
2010,2,721,8,23.1,Iron Man 2,5,8,0.39
2007,2,1187,6,30.1,Monster Madness: Battle for Suburbia,4,81,0.11
2010,2,97,7,40.65,The Sims 3: Ambitions,14,7,0.46
2014,1,625,3,37.3,Lords of the Fallen,9,15,0.52
2008,3,359,6,35.2,NERF N-Strike,0,7,1.09
2005,2,105,8,33.6,Star Wars Episode III: Revenge of the Sith,6,18,3.32
2004,0,789,0,35.55,Pro Fishing Challenge,13,91,0.02
2008,0,410,1,45.3,de Blob,0,28,0.96
2009,0,452,2,36.85,Fuel,14,34,0.02
2002,2,442,6,36.55,Conflict: Desert Storm,13,113,0.87
2011,0,1201,10,34.7,Gabrielle's Ghostly Groove 3D,10,142,0.11
2004,0,250,1,38.15,Scaler,19,2,0.04
2010,0,925,2,37.7,MotoGP 09/10,5,12,0.22
2009,2,678,3,37.65,Fragile Dreams: Farewell Ruins of the Moon,0,70,0.36
2007,3,107,8,29.8,Harry Potter and the Order of the Phoenix,16,7,0.37
2016,3,449,8,42.8,Worms: WMD,9,501,0.03
2005,2,551,8,34.45,Viewtiful Joe: Red Hot Rumble,19,12,0.06
2004,0,309,2,31.75,Corvette,6,71,1.33
2002,2,6,8,29.5,Minority Report: Everybody Runs,13,4,0.1
2014,1,82,8,36.5,Assassin's Creed: Unity,14,5,0.55
2008,2,103,8,22.7,The Mummy: Tomb of the Dragon Emperor,0,23,0.09
2010,1,78,3,39.75,Alpha Protocol,14,8,0.03
2012,0,22,8,46.3,FIFA Soccer 13,14,7,0.4
2009,1,124,6,42.5,F.E.A.R. 2: Project Origin,4,19,0.52
2011,1,29,6,46.25,Battlefield 3,5,7,7.17
2010,0,619,11,46.95,PixelJunk Monsters Deluxe,16,3,0.12
2002,0,867,0,43.9,Baseball Advance,8,8,0.13
2001,0,460,0,43.5,Amped: Freestyle Snowboarding,13,1,0.82
2005,2,1584,6,34.0,Cold War,13,319,0.02
2004,1,262,6,33.65,Conflict: Vietnam,13,113,0.22
2011,3,277,1,29.55,PlayStation Move Heroes,5,3,0.17
2008,0,116,3,40.65,Sonic Chronicles: The Dark Brotherhood,3,8,0.88
2011,1,1040,8,25.0,The Cursed Crusade,5,233,0.17
2010,1,63,8,50.35,God of War III,5,3,4.8
2013,2,188,8,36.25,Dynasty Warriors 8,4,48,0.15
2016,2,156,0,37.95,WWE 2K17,9,2,0.6
2007,0,314,0,37.15,Smash Court Tennis 3,16,25,0.04
2003,0,601,5,22.9,American Idol,6,34,0.55
2012,0,294,2,43.45,F1 2012,14,34,0.15
2012,1,277,6,33.4,Resistance: Burning Skies,22,3,0.41
2006,3,50,8,47.1,LEGO Star Wars II: The Original Trilogy,14,4,0.02
2001,0,382,2,39.5,Formula One 2001,6,3,0.26
2011,2,284,11,45.0,Anno 2070,14,5,1.43
2009,3,69,7,37.1,Dance Dance Revolution: Hottest Party 3,0,14,0.44
2008,3,311,1,38.3,Crash: Mind Over Mutant,0,23,0.43
2003,2,103,8,42.0,Buffy the Vampire Slayer: Chaos Bleeds,19,23,0.03
2016,0,294,2,46.55,DiRT Rally,9,34,0.37
2006,0,144,1,44.2,Yoshi's Island DS,3,0,2.76
2011,3,0,5,33.05,Wii Play: Motion,0,0,0.92
2003,2,52,8,37.35,Batman: Rise of Sin Tzu,13,5,0.11
2010,2,471,3,40.35,Star Ocean: The Last Hope International,5,15,0.72
2004,2,65,8,38.9,Forgotten Realms: Demon Stone,6,10,0.2
2005,0,468,7,45.95,Harvest Moon: Magical Melody,19,5,0.24
2008,0,57,0,45.35,NCAA Football 09,4,7,0.71
2007,2,145,8,28.85,SoulCalibur Legends,0,25,0.18
2011,1,279,6,38.0,Homefront,4,28,1.45
2005,2,360,3,37.8,Untold Legends: Brotherhood of the Blade,16,4,1.09
2006,1,70,3,51.35,The Elder Scrolls IV: Oblivion,4,2,4.38
2007,0,57,2,32.1,NASCAR 08,4,7,0.29
2001,0,22,0,38.7,NBA Live 2002,6,7,1.86
2009,3,562,0,23.05,Tony Hawk: RIDE,5,4,0.59
2010,2,491,8,32.1,TRON: Evolution,5,32,0.42
2008,2,50,8,30.8,The Chronicles of Narnia: Prince Caspian,5,32,0.17
2009,1,294,6,40.45,Operation Flashpoint: Dragon Rising,14,34,0.05
2008,2,156,9,42.45,WWE SmackDown vs. Raw 2009,6,28,1.24
2003,0,1472,11,41.4,Dai Senryaku VII: Modern Military Tactics,13,457,0.04
2010,1,78,3,44.9,Fallout: New Vegas,5,6,3.11
2003,0,239,0,37.3,Harry Potter: Quidditch World Cup,6,7,0.9
2008,0,0,5,33.8,Wii Music,0,0,3.25
2008,0,172,1,28.15,Wall-E,4,28,0.62
2010,0,717,2,40.4,TrackMania: Build to Race,0,82,0.23
2005,3,337,10,22.5,Zathura,6,2,0.12
2004,2,875,5,33.0,Trivial Pursuit unhinged,13,10,0.09
2007,0,57,0,40.9,Madden NFL 08,16,7,0.71
2005,0,91,1,41.3,Super Princess Peach,3,0,1.03
2006,3,35,2,40.7,Need for Speed Carbon,13,7,0.47
2007,0,213,5,31.1,Viva Pinata: Party Animals,4,1,0.23
2004,1,231,6,39.25,BloodRayne 2,6,28,0.27
2003,0,162,0,43.15,MLB SlugFest 20-04,6,39,0.53
2012,1,246,11,49.15,XCOM: Enemy Unknown,4,2,0.62
2007,2,163,3,34.95,Enchanted Arms,5,5,0.2
2008,0,184,11,44.35,Lock's Quest,3,28,0.09
2005,1,789,8,26.0,Red Ninja: End of Honor,6,23,0.04
2005,0,254,0,41.35,Rugby 2005,13,7,0.05
2005,0,57,0,40.2,NFL Street 2 Unleashed,16,7,0.37
2014,0,18,0,43.85,FIFA 15,9,7,6.08
2012,0,18,0,39.1,Grand Slam Tennis 2,5,7,0.23
2004,0,57,0,42.85,NFL Street 2,6,7,1.61
2006,3,1504,11,40.8,Caesar IV,14,23,0.04
2001,0,125,1,47.55,Sonic Advance,8,8,2.24
2010,2,488,8,23.05,Clash of the Titans,4,25,0.16
2009,3,126,8,41.15,Mini Ninjas,14,21,0.02
2011,3,475,8,19.3,X-Men: Destiny,3,4,0.06
2011,2,12,5,44.15,Rocksmith,5,5,1.12
2008,3,432,8,38.35,Kung Fu Panda,0,4,0.91
2007,0,273,0,37.9,The BIGS,6,2,0.51
2005,0,677,4,47.75,Meteos,3,0,0.23
2008,0,155,7,40.35,Style Savvy,3,0,2.58
2001,0,168,0,42.8,NHL Hitz 20-02,6,39,0.56
2010,2,156,9,45.35,UFC Undisputed 2010,4,28,1.32
2003,1,500,9,29.4,Backyard Wrestling: Don't Try This at Home,6,21,0.6
2002,0,744,8,40.65,Hamtaro: Ham-Ham Heartbreak,8,0,0.36
2009,1,1113,6,42.25,ArmA II,14,11,0.14
2012,1,48,3,43.15,Dragon's Dogma,5,12,1.74
2006,2,84,2,45.7,MotorStorm,5,3,3.87
2005,0,35,0,42.7,NBA Live 06,13,7,0.64
2004,2,775,9,35.45,King of Fighters: Maximum Impact,6,153,0.26
2010,0,1460,7,27.6,Ship Simulator Extremes,14,310,0.05
2006,2,367,0,37.8,Tony Hawk's Project 8,16,4,0.56
2010,1,690,3,33.2,Ar tonelico Qoga: Knell of Ar Ciel,5,48,0.24
2004,0,226,0,46.3,Mario Golf: Advance Tour,8,0,0.45
2006,2,1067,11,42.4,Field Commander,16,75,0.16
2003,0,342,2,33.0,Hot Wheels World Race,19,28,0.16
2006,2,267,8,29.45,Naruto: Uzumaki Chronicles 2,6,25,0.58
2009,0,196,3,31.5,Pokemon Mystery Dungeon: Explorers of Sky,3,0,1.56
2010,2,156,9,40.5,UFC Undisputed 2010,16,28,0.21
2004,0,35,0,41.05,UEFA Euro 2004: Portugal,13,7,0.05
2007,2,89,7,42.65,The Sims 2: Seasons,14,7,0.07
2003,0,70,2,23.7,IHRA Drag Racing 2004,13,6,0.2
2012,0,57,8,41.55,NCAA Football 13,5,7,0.89
2003,0,1366,2,32.05,World Racing,13,71,0.07
2009,3,67,5,36.0,Band Hero,3,4,0.43
2003,2,231,6,32.1,BlowOut,6,84,0.23
2000,2,69,11,45.35,Ring of Red,6,14,0.11
2005,1,1615,6,17.9,Chicago Enforcer,13,188,0.02
2011,0,83,0,48.35,NBA 2K12,5,2,2.11
2004,2,89,7,40.7,The Urbz: Sims in the City,19,7,0.4
2011,0,180,0,36.65,Virtua Tennis 4,14,8,0.04
2007,0,273,0,43.7,The BIGS,4,2,0.27
2001,2,219,10,48.7,Shenmue II,21,8,0.15
2003,2,907,10,42.65,Broken Sword: The Sleeping Dragon,13,28,0.02
2006,0,35,0,41.8,MVP 06 NCAA Baseball,13,7,0.34
2012,2,59,3,32.9,Fable: The Journey,4,1,0.28
2009,3,199,3,41.4,Kingdom Hearts 358/2 Days,3,15,1.98
2011,3,140,8,43.3,Skylanders: Spyro's Adventure,0,4,2.78
2004,2,12,8,37.1,Tom Clancy's Splinter Cell: Pandora Tomorrow,8,5,0.06
2007,3,1694,11,27.4,Hospital Tycoon,14,34,0.01
2002,2,641,5,40.4,Defender,6,39,0.4
2008,2,32,9,46.45,SoulCalibur IV,4,5,1.58
2013,1,347,6,28.9,Sniper: Ghost Warrior 2,14,86,0.08
2004,2,1548,8,37.0,Galleon: Islands of Mystery,13,113,0.03
2011,2,337,8,28.0,Captain America: Super Soldier,10,8,0.08
2010,0,925,2,37.35,MotoGP 09/10,4,12,0.17
2014,2,48,3,47.35,Monster Hunter 4 Ultimate,10,0,3.89
2003,2,855,8,14.3,Batman: Dark Tomorrow,13,188,0.11
2009,3,531,8,32.0,Aliens in the Attic,3,289,0.05
2007,0,865,7,26.5,Fish Tycoon,3,35,0.26
2015,0,344,4,38.75,Mario vs. Donkey Kong: Tipping Stars,10,0,0.06
2007,1,144,8,20.45,Vampire Rain,4,1,0.21
2007,0,156,10,39.05,The Dog Island,0,5,0.38
2012,3,182,8,44.1,LEGO The Lord of the Rings,14,19,0.22
2011,0,130,0,42.05,Hot Shots Golf: World Invitational,22,3,0.55
2006,3,35,2,41.65,Need for Speed Carbon,4,7,1.65
2010,2,496,9,46.85,BlazBlue: Continuum Shift,4,148,0.31
2007,0,16,5,39.9,Mario Party DS,3,0,8.91
2014,0,306,2,32.9,F1 2014,14,34,0.1
2014,3,295,2,47.1,Forza Horizon 2,17,1,1.4
2007,3,690,3,38.25,Mana Khemia: Alchemists of Al-Revis,6,131,0.06
2008,0,1389,3,33.5,From The Abyss,3,125,0.06
2006,1,586,11,50.9,Company of Heroes,14,28,0.05
2001,0,187,2,46.6,Project Gotham Racing,13,1,2.12
2011,2,1492,11,36.45,Men of War: Vietnam,14,53,0.04
2010,0,18,0,48.5,FIFA Soccer 11,5,7,5.07
2008,0,1079,10,28.65,Code Lyoko: Fall of X.A.N.A.,3,102,0.08
2003,1,463,3,45.35,Shin Megami Tensei: Nocturne,6,145,0.38
2015,2,289,8,40.8,Transformers: Devastation,14,4,0.03
2011,0,1370,11,33.3,Cities XL 2012,14,82,0.07
2004,0,35,2,42.85,Need for Speed Underground 2,13,7,2.28
2016,3,182,8,33.55,LEGO Marvel's Avengers,10,19,0.19
2014,0,18,0,29.9,NBA Live 15,17,7,0.21
2013,0,208,5,31.65,Mario Party: Island Tour,10,0,1.92
2008,2,39,2,44.75,Midnight Club: Los Angeles,4,2,2.35
2004,1,198,8,32.8,Samurai Western,6,11,0.08
2004,2,158,8,36.0,Alias,6,30,0.11
2013,3,182,10,34.3,LEGO Legends of Chima: Laval's Journey,10,19,0.31
2008,3,64,8,40.0,LEGO Batman: The Videogame,3,19,3.05
2003,0,35,0,50.35,SSX 3,13,7,0.39
2010,3,233,8,19.85,Kung Fu Rider,5,3,0.2
2005,3,67,8,42.85,Ultimate Spider-Man,3,4,0.15
2011,3,173,5,37.95,Kinect: Disneyland Adventures,4,1,2.35
2010,2,1287,5,32.1,Data East Arcade Classics,0,35,0.09
2013,2,133,9,44.45,Injustice: Gods Among Us,4,19,1.38
2012,1,225,8,31.2,Ninja Gaiden 3,4,48,0.25
2010,2,58,5,50.6,Rock Band 3,4,31,0.88
2012,2,922,10,30.05,Spirit Camera: The Cursed Memoir,10,0,0.22
2010,2,522,7,35.75,Apache: Air Assault,14,490,0.03
2008,2,180,3,47.3,Valkyria Chronicles,5,8,1.27
2011,2,46,3,42.8,Final Fantasy XIII-2,5,15,2.63
2009,2,156,9,41.65,WWE SmackDown vs. Raw 2010,3,28,0.53
2005,0,18,0,44.6,Tiger Woods PGA Tour 06,6,7,0.89
2002,2,588,9,37.3,WWF Raw,13,28,0.55
1998,2,41,11,48.55,StarCraft,14,4,0.05
2005,1,875,6,39.55,Raze's Hell,13,35,0.05
2008,2,1102,3,29.05,Baroque,0,70,0.07
1998,2,1286,11,34.7,Vanguard Bandits,12,190,0.07
2010,1,508,8,33.45,Fist of the North Star: Ken's Rage,5,116,0.66
2008,3,69,7,37.9,Dance Dance Revolution: Hottest Party 2,0,14,1.58
2005,1,1341,6,26.25,Combat: Task Force 121,13,84,0.07
2001,0,1054,3,40.0,Zone of the Enders: The Fist of Mars,8,14,0.06
2011,0,392,1,36.45,Sonic Generations,10,8,1.02
2002,0,708,4,39.6,Bombastic,6,12,0.05
2005,0,281,1,33.5,Pac-Man World 3,16,25,0.07
2011,0,453,2,33.05,NASCAR 2011: The Game,4,4,0.3
2002,0,138,0,41.0,NCAA March Madness 2003,6,7,0.66
2012,2,166,8,40.0,WWE '13,0,28,0.15
2004,2,579,3,44.45,Phantom Brave,6,48,0.14
2009,2,145,9,43.2,Tekken 6,5,25,2.75
2012,1,133,9,46.4,Mortal Kombat,22,19,0.65
2007,2,223,5,43.95,SingStar,5,3,1.13
2012,3,50,8,35.4,LEGO Harry Potter: Years 5-7,22,19,0.18
2010,2,552,8,41.35,Fat Princess: Fistful of Cake,16,3,0.12
2005,0,1654,1,33.35,Kao the Kangaroo Round 2,6,271,0.02
