Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas globais,Desenvolvedora,Classificacao,Media de pontuacao
Super Robot Wars BX,11,2015,9,25,0.13,0,0,0.0
Deus Ex: Mankind Divided,15,2016,4,15,0.03,1532,2,44.55
Fragile Dreams: Farewell Ruins of the Moon,1,2009,4,70,0.36,678,3,37.65
Don King Boxing,1,2009,1,2,0.26,874,3,27.5
Jikkyou Powerful Pro Yakyuu Next,1,2009,1,14,0.08,0,0,0.0
Naruto Shippuden: Ultimate Ninja Storm 2,6,2010,10,25,1.21,325,3,42.15
Command & Conquer: Red Alert Retaliation,13,1998,12,17,0.7,0,0,0.0
NCAA Football 09,7,2008,1,7,0.48,57,1,0.0
Mat Hoffman's Pro BMX 2,20,2002,1,4,0.04,167,3,35.0
Chicken Hunter,4,2007,7,537,0.02,1614,4,19.5
Sea Park Tycoon,4,2010,8,276,0.03,1189,1,0.0
Pro Evolution Soccer 2010,5,2009,1,14,0.81,69,1,42.8
Machine Head,13,1996,7,21,0.07,0,0,0.0
Chase: Hollywood Stunt Driver,14,2002,3,176,0.12,1166,3,33.7
Rapala Pro Bass Fishing 2010,1,2010,1,4,0.3,565,1,0.0
Zombie Army Trilogy,18,2015,7,262,0.11,248,0,34.6
Dynasty Warriors 6 (JP sales),7,2008,9,48,0.25,0,0,0.0
The Simpsons Game,6,2007,9,7,0.88,97,3,39.25
Winter Sports 2: The Next Challenge,4,2008,1,78,0.06,335,1,0.0
Winning Post 4,13,1999,1,48,0.15,0,0,0.0
Buzz! Master Quiz,17,2008,6,3,0.87,0,0,0.0
Scarface: The World is Yours,15,2006,9,23,0.04,311,2,40.25
Cars: Race-O-Rama,7,2009,3,28,0.47,402,1,0.0
Street Supremacy,17,2005,3,14,0.03,272,1,20.5
The Sims 2: Pets,17,2006,8,7,0.79,89,3,32.15
ESPN NHL 2K5,7,2004,1,63,0.88,276,1,47.05
Dora the Explorer: Dora Saves the Crystal Kingdom,7,2009,6,2,0.09,749,1,0.0
One Piece: Romance Dawn - Bouken no Yoake,11,2013,10,25,0.08,0,0,0.0
DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun,4,2007,6,269,0.1,0,0,0.0
Ro-Kyu-Bu! Lost Secret,17,2013,11,154,0.02,0,0,0.0
Diego's Build & Rescue,4,2010,9,2,0.08,0,0,0.0
Resistance 3,6,2011,7,3,1.48,73,2,45.4
Spot Goes to Hollywood,13,1996,2,17,0.07,0,0,0.0
Pac 'n Roll,4,2005,2,25,0.11,32,1,36.0
World of Final Fantasy,23,2016,4,15,0.21,46,4,42.8
World Destruction League: Thunder Tanks,7,2000,9,76,0.17,733,3,35.45
Remember Me,5,2013,9,12,0.18,711,2,38.75
Batman: Dark Tomorrow,14,2003,9,188,0.11,855,3,14.3
The Princess and the Frog,1,2009,2,32,0.46,243,1,0.0
Airborne Troops: Countdown to D-Day,7,2005,7,289,0.12,970,3,23.55
The Sims: Bustin' Out,9,2003,8,7,1.33,0,0,0.0
Professor Layton and the Unwound Future,4,2008,5,0,3.26,49,4,47.6
Hamster Tarou,3,1999,8,202,0.3,0,0,0.0
Final Fantasy Adventure,3,1991,4,9,0.38,0,0,0.0
Naruto Shippuden: Ninja Council 4,4,2007,9,0,0.22,927,4,24.5
Steal Princess,4,0,2,53,0.02,926,4,30.0
Cool Boarders 2,13,1997,1,44,2.25,0,0,0.0
Face Racers: Photo Finish,11,0,3,35,0.08,1042,1,0.0
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,4,2008,9,28,0.57,495,1,3.0
Wonder Project J: Kikai no Shonen Pino,8,1994,8,24,0.43,0,0,0.0
Super Bomberman 2,8,1994,5,68,0.81,0,0,0.0
Obscure,14,2004,11,473,0.04,1011,2,37.2
XS Airboat Racing,13,2002,3,166,0.24,0,0,0.0
Major League Baseball 2K9,1,2009,1,2,0.26,564,1,32.75
Doom 3: Resurrection of Evil,14,2005,7,4,0.71,509,2,42.45
Worldwide Soccer,24,1994,1,8,0.06,0,0,0.0
Rage,6,2011,7,6,1.31,259,2,43.6
Frankenstein's Monster,16,1982,9,191,0.32,0,0,0.0
Sherlock Holmes: Crimes & Punishments,6,2014,11,82,0.07,0,0,0.0
World Poker Tour,9,2005,6,2,0.01,1015,1,0.0
Dark Sector,5,2008,7,58,0.48,493,2,39.75
The Mummy: Tomb of the Dragon Emperor,1,2008,9,23,0.09,103,3,22.7
Dragon Ball: Xenoverse 2,10,2016,9,25,0.71,117,3,40.4
Men in Black The Series: Crashdown,13,2001,7,52,0.06,0,0,0.0
The Land Before Time: Into the Mysterious Beyond,9,2006,2,102,0.01,0,0,0.0
Pirates of the Caribbean: The Curse of the Black Pearl,9,2003,2,71,1.29,316,1,27.6
Ukiyo no Shishi,6,2015,9,25,0.03,0,0,0.0
Classic NES Series: Excitebike,9,2004,3,0,0.25,0,1,33.0
Shaun Palmer's Pro Snowboarder,9,2001,1,4,0.36,495,1,29.0
Formula 1 06,7,2006,3,3,0.04,0,0,0.0
Bakugan: Battle Brawlers,4,2009,9,4,1.38,301,1,33.35
Pac-Man Party,1,2010,6,25,0.61,91,4,32.45
Zero no Tsukaima: Muma ga Tsumugu Yokaze no Nocturne,7,2007,11,214,0.02,0,0,0.0
Chrysler Classic Racing,4,2008,3,74,0.02,1385,1,0.0
Akai Katana Shin,5,2011,7,360,0.06,0,0,0.0
YoKai Watch Dance: Just Dance Special Version,19,2015,6,37,0.03,0,0,0.0
Alien: Isolation,10,2014,7,8,1.13,218,2,43.55
Zumba Fitness Rush,5,2012,1,11,0.18,135,4,39.6
Prince of Persia: Rival Swords,17,2007,9,5,0.11,38,3,41.1
Pizza Delivery Boy,1,2010,8,35,0.07,1356,1,0.0
A New Beginning,15,2010,11,41,0.06,0,0,0.0
Jikkyou World Soccer 2002,7,2002,1,14,0.04,0,0,0.0
Wetrix,12,1998,5,83,0.08,0,0,0.0
Monster Jam: Urban Assault,7,2008,3,4,0.13,709,1,0.0
Handball 16,10,2015,1,340,0.06,1035,1,1.5
SpongeBob SquarePants: Revenge of the Flying Dutchman,20,2002,2,28,0.2,361,1,37.15
Gegege no Kitarou: Youkai Daigekisen,4,2008,9,25,0.06,0,0,0.0
Alpha and Omega,4,2010,9,53,0.07,615,1,0.0
Maximum Racing: Crash Car Racer,1,2010,3,128,0.02,1088,1,0.0
Manhunt 2,17,2007,9,2,0.31,404,2,38.55
Petz Wild Animals: Dolphinz,4,2007,8,5,1.32,239,1,0.0
Ice Age: Dawn of the Dinosaurs,15,2009,9,4,0.02,242,4,33.5
Spider-Man: Edge of Time,1,2011,9,4,0.09,185,3,33.6
Wild ARMs 2,13,1999,4,3,0.67,0,0,0.0
Dance Dance Revolution Extreme,7,2004,8,14,2.13,85,1,43.0
Need for Speed Carbon,6,2006,3,7,1.23,35,4,41.15
Love Plus +,4,2010,8,14,0.23,0,0,0.0
Mimana Iyar Chronicle,17,2009,4,66,0.09,929,3,25.4
FIFA 14,10,2013,1,7,3.01,35,1,46.65
Rhythm Heaven: The Best+,11,2015,6,0,0.74,0,0,0.0
Sorcery Saga: The Curse of the Great Curry God,23,2013,4,70,0.03,1100,3,36.15
Shin Megami Tensei,13,2001,4,91,0.09,0,0,0.0
DJ Max Portable 3,17,2010,6,463,0.03,1554,4,2.3
Indy 500,16,0,3,10,0.27,0,0,0.0
Tales of Fandom Vol.2,7,2007,4,25,0.08,0,0,0.0
ChuChu Rocket!,9,2001,12,10,0.09,0,0,0.0
Monster Hunter Freedom 2,17,2007,4,12,2.57,48,3,40.35
"Barbie: Jet, Set & Style!",4,2011,6,28,0.42,0,0,0.0
Just Dance: Disney Party,5,2012,6,5,0.16,1062,1,0.0
Norn + Nonette: Last Era,23,2015,9,323,0.01,0,0,0.0
Nicktoons: Attack of the Toybots,7,2007,2,28,0.5,642,1,0.0
Condemned: Criminal Origins,5,2005,9,8,0.41,124,2,44.6
Ready 2 Rumble Boxing,13,1998,1,39,1.08,0,0,0.0
Medabots: Metabee,9,2002,4,77,0.05,0,0,0.0
All-Star Baseball 2003,9,2002,1,30,0.15,986,1,38.5
Terraria,6,2013,9,11,0.41,531,3,44.45
Scooby-Doo! Unmasked,20,2005,2,28,0.15,0,0,0.0
Metal Gear Solid Integral,13,1999,11,14,0.11,0,0,0.0
Disruptor,13,1995,7,117,0.13,0,0,0.0
Tekken 6,17,2009,10,25,0.32,314,3,45.1
LEGO Marvel's Avengers,19,2016,9,19,0.24,182,4,37.9
LEGO Star Wars III: The Clone Wars,17,2011,9,18,0.37,50,4,31.5
Battleborn,18,2016,7,2,0.15,100,3,39.1
Tago Akira no Atama no Taisou Dai-2-Shuu: Ginga Oudan Nazotoki Adventure,4,2009,11,37,0.03,0,0,0.0
X-Men: Next Dimension,14,2002,10,4,0.11,500,3,28.0
Blade II,7,2002,9,4,0.31,806,2,27.55
Tour de France 2011,5,0,3,82,0.05,1047,0,26.8
Guilty Gear XX Accent Core Plus,1,2009,10,148,0.03,496,3,41.65
Inazuma Eleven GO 3: Galaxy,11,2013,1,37,0.26,0,0,0.0
MLB Power Pros,7,2007,1,14,0.11,69,1,44.4
Nicktoons Collection: Game Boy Advance Video Volume 2,9,2004,6,0,0.22,0,0,0.0
San Goku Shi Taisen DS,4,2007,12,8,0.16,0,0,0.0
Saki: Achiga-Hen Portable,17,2013,11,79,0.02,0,0,0.0
Batman Beyond: Return of the Joker,13,2000,9,5,0.17,1039,0,2.15
O.D.T.: Escape... Or Die Trying,13,1997,11,85,0.12,0,0,0.0
The Settlers,4,2007,9,5,0.11,800,1,22.3
Kouchuu Ouja Mushi King,9,2005,9,8,0.72,0,0,0.0
Rio,4,2011,6,28,0.16,166,1,29.5
Tactics Ogre: Let Us Cling Together,17,2010,4,15,0.53,46,3,47.9
Ghostbusters: The Video Game,5,2009,9,10,0.63,231,3,43.75
Petz Dogz 2,7,2007,8,5,0.56,12,1,0.0
Crash: Twinsanity,7,2004,2,23,0.64,50,1,36.0
Wand of Fortune: Mirai e no Prologue,7,2010,11,323,0.01,0,0,0.0
Harvest Moon: Sunshine Islands,4,2008,8,70,0.57,0,0,0.0
Jikkyou Powerful Pro Baseball 2016,10,2016,1,14,0.17,0,0,0.0
EA Sports Active NFL Training Camp,1,2010,1,7,0.79,18,1,0.0
Disney Infinity,19,2013,9,32,0.6,260,4,39.3
JumpStart: Escape from Adventure Island,1,2009,11,178,0.41,706,1,34.0
Backyard NFL Football '09,4,2008,1,10,0.07,0,0,0.0
Saltwater Sportfishing,13,2001,1,2,0.22,0,0,0.0
From TV Animation One Piece: Grand Battle 2,13,2002,10,25,0.6,0,0,0.0
Phoenix,16,1981,8,10,0.45,0,0,0.0
Gauntlet: Dark Legacy,7,2001,9,39,1.15,162,3,40.65
NASCAR Heat Evolution,10,2016,3,444,0.05,1452,1,34.9
Earthworm Jim 2,9,2002,2,23,0.03,1530,1,25.35
Dead Space,6,2008,9,7,2.0,97,2,48.4
IHRA Drag Racing 2,7,2002,3,6,1.31,70,1,3.7
Alter Ego,15,1985,8,4,0.03,1526,3,32.4
Castrol Honda Superbike Racing,13,1998,3,28,0.13,0,0,0.0
The Evil Within,6,2014,9,6,0.84,222,2,3.8
NeverDead,6,2012,7,14,0.12,248,2,27.35
Bomberman,17,2006,5,14,0.15,21,1,40.0
Puzzle Guzzle,17,2007,5,332,0.02,1635,1,32.5
NBA 09: The Inside,6,2008,1,3,0.15,421,1,34.05
Miracle Girls Festival,23,2015,6,8,0.06,0,0,0.0
J-League Pro Soccer Club o Tsukurou '04,7,2004,1,8,0.36,0,0,0.0
MXGP 2,15,2016,3,255,0.01,0,0,0.0
Stormrise,6,2009,12,8,0.17,218,2,28.15
Killzone: Liberation,17,2006,7,3,0.89,120,3,42.65
Batman: The Brave and the Bold the Videogame,4,2010,9,19,0.29,278,4,41.0
MLB 08: The Show,7,2008,1,3,0.42,421,1,45.65
Memories Off: Yubikiri no Kioku,5,2010,11,357,0.02,0,0,0.0
G1 Jockey 4 2008,6,2008,1,48,0.01,0,0,0.0
NASCAR Thunder 2002,13,2001,3,7,0.42,168,1,37.95
Red Stone DS: Akaki Ishi ni Michibikareshi Monotachi,4,2011,4,53,0.01,0,0,0.0
Hot Shots Golf 3,7,2001,1,3,2.89,130,1,46.95
Monster Racers,4,2009,3,48,0.07,393,1,39.5
Frogger's Journey: The Forgotten Relic,9,2003,9,14,0.26,170,1,29.5
Busou Shinki: Battle Masters Mk. 2,17,2011,9,14,0.11,0,0,0.0
Tetris Worlds,9,2001,5,28,1.71,238,1,32.5
Ikaruga,20,2003,7,10,0.09,663,1,46.75
Jr. Pac-Man,16,1983,5,10,0.78,0,0,0.0
TimeShift,6,2007,7,23,0.16,703,2,38.15
Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu,13,1995,10,91,0.1,0,0,0.0
Pokémon: Johto Photo Finish: Game Boy Advance Video,9,2004,6,0,0.15,0,0,0.0
RayCrisis: Series Termination,13,1999,7,40,0.02,51,1,33.5
Mount & Blade,15,2008,4,310,0.02,0,0,0.0
Vin Diesel: Wheelman,6,2009,3,5,0.32,0,0,0.0
How to Train Your Dragon 2,11,2014,11,241,0.25,709,4,0.0
Detana TwinBee Yahho! Deluxe Pack,13,1995,7,14,0.09,0,0,0.0
SingStar Motown,6,2009,6,3,0.17,0,0,0.0
F1 2016 (Codemasters),15,2016,3,34,0.03,0,0,0.0
Petz: Dogz Family,17,2009,8,5,0.08,1313,1,0.0
Project Gotham Racing,14,2001,3,1,2.12,187,1,46.6
Drill Dozer,9,0,2,53,0.05,24,1,44.65
Madagascar,4,2005,2,4,0.3,0,0,0.0
ESPN MLB Baseball,7,2004,1,8,0.2,0,0,0.0
Tony Hawk's Project 8,5,2006,1,4,0.49,60,3,44.3
Final Fight,8,1990,9,12,1.56,0,0,0.0
Samurai Warriors 2,5,2006,9,48,0.08,188,3,30.35
Grand Theft Auto IV,5,2008,9,2,11.01,3,2,52.95
From TV Animation One Piece: Grand Battle! 3,7,2003,10,25,0.32,0,0,0.0
Chou Gekijoban Keroro Gunsou: Gekishin Dragon Warriors de Arimasu!,4,2009,9,25,0.04,0,0,0.0
Hot Shots Tennis,7,2006,1,3,0.9,130,1,39.05
Jurassic: The Hunted,7,2009,7,4,0.14,242,3,0.0
Universal Studios Theme Parks Adventure,20,2001,6,188,0.1,1039,3,20.95
Ryu-koku,7,2006,11,499,0.02,0,0,0.0
Heavenly Sword,6,2007,9,3,1.65,257,3,43.65
Mercenaries: Playground of Destruction,14,2005,9,18,0.68,0,0,0.0
Theme Hospital,15,1997,12,7,2.4,169,5,4.5
Bahamut Lagoon,8,1996,4,9,0.62,0,0,0.0
Memories Off,17,2008,11,357,0.01,0,0,0.0
Kengo: Master of Bushido,7,2000,10,5,0.39,346,2,35.2
Smuggler's Run,7,2000,3,2,1.56,39,3,42.9
Hyakki Yagyou Kaidan Romance,17,2012,9,500,0.01,0,0,0.0
Winx Club: Mission Enchantix,4,2008,11,14,0.06,390,1,0.0
True Crime: New York City,20,2005,9,4,0.17,181,2,33.9
Mario vs. Donkey Kong: Mini-Land Mayhem!,4,2010,5,0,2.67,0,1,43.35
Tiger Woods PGA Tour 06,14,2005,1,7,0.48,18,1,43.05
Might & Magic Heroes VII,15,2015,12,5,0.09,0,0,0.0
Phineas and Ferb: Across the 2nd Dimension,6,2011,9,32,0.32,560,4,34.8
NBA Live 2004,7,2003,1,7,2.03,18,1,46.85
Madden NFL 2004,20,2003,1,7,0.51,57,1,50.85
NBA Live 99,13,1997,1,7,1.22,0,0,0.0
Colony Wars III: Red Sun,13,2000,8,85,0.12,0,0,0.0
Batman Beyond: Return of the Joker,12,2000,9,5,0.09,0,0,0.0
Worms 3D,7,2003,12,8,0.12,449,3,38.9
Unlimited Saga,7,2002,4,10,0.77,14,3,24.0
Adventure Island,2,1986,2,68,1.05,0,0,0.0
Mario vs. Donkey Kong: Tipping Stars,19,2015,5,0,0.01,344,1,38.7
The Flintstones: Bedrock Bowling,13,2000,1,5,0.13,0,0,0.0
Mario Hoops 3 on 3,4,2006,1,0,1.6,46,1,38.5
The Chronicles of Narnia: Prince Caspian,7,2008,9,32,0.4,50,3,37.0
Wu-Tang: Shaolin Style,13,1998,10,4,0.48,0,0,0.0
Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu,17,2010,11,3,0.07,0,0,0.0
Tales of Destiny 2,17,2007,4,25,0.12,0,0,0.0
Skylanders SWAP Force,1,2013,2,4,2.15,185,4,3.3
NCAA March Madness 2005,14,2004,1,7,0.28,35,1,43.9
Tom Clancy's Ghost Recon,20,2003,7,5,0.15,227,2,32.2
Dragon Ball Z: Idainaru Dragon Ball Densetsu,13,1996,10,25,0.19,0,0,0.0
SimAnimals,4,2009,8,7,0.52,22,1,38.75
Cabela's Dangerous Hunts 2011,5,2010,1,4,0.32,242,3,27.5
Hyperdevotion Noire: Goddess Black Heart,23,2014,4,323,0.13,1102,3,37.55
Puzzle Challenge: Crosswords and More!,7,2006,5,67,0.02,0,0,0.0
Desktop Tower Defense,4,2009,12,28,0.11,1194,1,0.0
Naruto Shippuden: Ultimate Ninja Storm 2,5,2010,10,25,0.78,325,3,41.25
FIFA Soccer 2005,20,2004,1,7,0.14,35,1,43.25
Starry ? Sky: In Winter,17,2011,6,418,0.03,0,0,0.0
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,4,2006,6,141,0.66,0,0,0.0
Shrek: Ogres & Dronkeys,4,2007,8,4,0.28,0,0,0.0
Dragon Ball: XenoVerse,6,2015,10,25,0.48,117,3,3.55
Super Scribblenauts,4,2010,5,19,1.46,184,4,44.6
Alfa Romeo Racing Italiano,7,2005,3,195,0.01,723,1,3.4
Turok: Rage Wars,12,1999,7,30,0.37,0,0,0.0
Saki: Zenkoku-hen,23,2015,6,427,0.06,0,0,0.0
Shrek 2,20,2004,2,4,1.02,109,1,38.2
Danganronpa Another Episode: Ultra Despair Girls,23,2014,9,131,0.21,701,2,40.2
World Stadium 5,13,2001,1,25,0.09,0,0,0.0
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",20,0,9,32,0.28,50,3,35.5
Metroid Prime Hunters,4,2006,7,0,0.76,0,3,46.5
Gormiti: The Lords of Nature!,4,2010,11,14,0.06,0,0,0.0
Marvel Super Hero Squad: The Infinity Gauntlet,11,2011,9,28,0.1,166,4,27.0
Arslan: The Warriors of Legend,10,2015,9,48,0.09,188,3,37.8
The Order: 1886,10,2015,7,3,1.74,232,2,34.8
Donkey Kong Country Returns,11,2013,2,0,1.89,0,0,0.0
Slam Dunk: Yonkyo Taiketsu!!,8,1994,1,25,0.27,0,0,0.0
Spy Hunter 2,14,2003,3,39,0.13,162,3,28.5
Bubble Bobble Evolution,17,2006,5,70,0.03,789,1,23.5
Star Wars Jedi Knight II: Jedi Outcast,14,0,7,4,0.31,67,3,43.9
Monster Lab,1,2008,4,21,0.31,179,4,40.7
Boing! Docomodake DS,4,2007,5,153,0.05,0,0,0.0
Sonic Rivals,17,2006,3,8,1.42,179,1,35.9
FIFA Soccer 08,5,2007,1,7,1.35,35,1,44.95
Wordfish,4,2008,5,5,0.08,12,1,0.0
Petz Dogz 2,1,2007,8,5,0.57,12,1,0.0
E.T. The Extra-Terrestrial: Interplanetary Mission,13,2001,2,5,0.04,0,0,0.0
Cartoon Network Collection: Game Boy Advance Video Volume 2,9,2004,6,0,0.08,0,0,0.0
Syberia II,15,2004,11,473,0.02,1228,3,44.15
Dead to Rights: Retribution,5,2010,7,25,0.21,840,2,34.0
MLB 99,13,1998,1,3,0.86,0,0,0.0
NCAA Final Four 2001,13,2000,1,3,0.16,398,1,27.5
Deer Drive,1,2009,1,127,0.75,490,3,0.0
Mario Party 8,1,2007,6,0,8.27,21,1,34.15
SimCity Creator,1,2008,8,7,0.46,22,1,36.9
Ballblazer Champions,13,1997,1,107,0.02,0,0,0.0
Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi,11,2012,9,25,0.07,0,0,0.0
Mystery Tales 2: The Spirit Mask,4,2011,5,53,0.02,1519,4,0.0
Pro Evolution Soccer 2013,17,2012,1,14,0.27,69,1,0.0
Galaxy Racers,4,2010,3,5,0.05,1467,1,0.0
Ridge Racer,23,2011,3,25,0.17,1025,4,23.85
Jikkyou Powerful Pro Yakuu '94,8,1994,1,14,0.41,0,0,0.0
Headhunter: Redemption,7,2004,9,8,0.04,726,2,34.35
Devil Dice,13,1998,5,28,1.26,0,0,0.0
Strike Witches: Aoi no Dengekisen - Shin Taichou Funtousuru!,4,2009,9,90,0.03,0,0,0.0
Burnout Paradise,6,2008,3,7,1.94,139,4,47.35
Tomb Raider: Underworld,6,2008,9,21,1.26,330,3,41.1
Haunted House,1,2010,9,10,0.13,1134,4,20.5
Skylanders Giants,5,2012,9,4,1.3,140,4,43.3
Empire: Total War,15,2009,12,8,1.08,218,3,48.45
Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta,23,2012,11,243,0.1,0,0,0.0
Kaijuu Busters,4,2009,9,25,0.12,0,0,0.0
Bakugan Battle Brawlers: Defenders of the Core,4,2010,9,4,0.48,301,4,0.0
Princess on Ice,4,2008,1,11,0.05,496,1,0.0
Momu-chan Diet Wii: Figurobics by Chon Dayon,1,2010,6,68,0.09,0,0,0.0
Pikmin 3,19,2013,12,0,1.11,0,4,47.85
Margot's Word Brain,4,2008,5,74,0.07,1145,4,0.0
Polly Pocket: Super Splash Island,9,2003,9,178,0.24,0,0,0.0
Touch 'N' Play Collection,4,2010,6,347,0.05,1284,1,0.0
Vexx,20,2003,2,30,0.06,310,3,39.15
Famicom Mini: Super Mario Bros. 2,9,2004,2,0,0.42,0,0,0.0
Gladiator: Sword of Vengeance,14,2003,9,30,0.05,1175,2,36.05
Green Day: Rock Band,5,2010,6,31,0.41,707,3,40.8
Umihara Kawase Jun: Second Edition Kanzenban,4,2009,5,565,0.01,0,0,0.0
NCAA Football 09 All-Play,1,2008,1,7,0.16,35,1,27.4
Beastly,1,2011,6,53,0.03,362,4,0.0
Metal Fight Beyblade: Choujou Kessen! Big Bang Bladers,4,2010,9,68,0.02,0,0,0.0
Dragon Ball Z: Battle of Z,23,2014,10,25,0.11,810,3,36.75
My Animal Centre,1,2009,8,41,0.02,0,0,0.0
Steins;Gate,23,2013,11,148,0.1,1009,2,46.1
Panzer Dragoon,24,1995,7,8,0.37,0,0,0.0
Stunt Race FX,8,1993,3,0,0.35,0,0,0.0
SpongeBob: HeroPants,23,2015,2,4,0.01,242,1,2.55
God of War Collection,23,2014,9,3,0.2,962,2,40.2
Ore no Imouto ga Konna ni Kawaii Wake ga Nai Happy EnD,6,2013,8,25,0.04,0,0,0.0
NCAA Football 07,14,2006,1,7,0.56,18,1,47.45
Disney Channel: All Star Party,1,2010,6,32,0.28,444,1,0.0
Rocksmith 2014,6,2013,6,5,0.98,0,0,0.0
Monster House,20,2006,11,28,0.14,250,4,30.0
International Superstar Soccer,8,1994,1,14,0.28,0,0,0.0
Outdoors Unleashed: Africa 3D,11,2011,1,180,0.01,689,3,0.0
Winning Post 5,7,2001,1,48,0.13,0,0,0.0
Darkwatch,7,2005,7,5,0.32,72,2,41.2
Green Day: Rock Band,6,2010,6,31,0.41,707,3,41.15
Grand Theft Auto: Vice City,15,2003,9,2,0.04,3,2,51.4
Karaoke Revolution,7,2003,6,14,0.35,58,1,46.05
SpongeBob: HeroPants,11,2015,2,4,0.04,242,1,0.0
Hatsune Miku: Project Diva f,23,2012,6,8,0.23,180,3,44.5
RealSports Volleyball,16,1981,1,10,0.13,0,0,0.0
Agile Warrior F-111X,13,1995,8,17,0.14,0,0,0.0
John Deere: Harvest in the Heartland,4,2007,8,5,0.29,375,1,21.5
Airship Q,23,2015,2,493,0.03,0,0,0.0
Peter Pan in Disney's Return to Never Land,13,2002,2,3,0.02,0,0,0.0
Aikatsu! 365 Idol Days,11,2014,11,25,0.13,0,0,0.0
The Sims: Bustin' Out,7,2003,8,7,2.43,89,3,44.7
Commander: Conquest of the Americas,15,2010,12,310,0.03,1547,3,36.6
Fatal Fury 2,8,1993,10,152,0.45,0,0,0.0
XCOM: Enemy Unknown,5,2012,12,2,0.62,246,2,49.15
